player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
184111,/player/184111/christian-benteke/240002,24.0,2.0,2023-09-22,C. Benteke,Christian Benteke Liolo,ST,74,74,3400000.0,9000.0,32,1990-12-03,190,83,688.0,DC United,39.0,Major League Soccer,1.0,ST,20.0,,2022-08-04,2024.0,7,Belgium,,,,Right,2,2,2,Medium/Low,Normal (185+),Yes,4900000.0,#Strength,Power Header,46.0,75.0,62.0,67.0,32.0,75.0,58,76,85,66,73,65,62,64,51,74,49,44,59,74,43,80,86,52,87,68,71,29,79,69,71,72.0,28,25,18,14,5,12,8,5,,74,74,74,67,70,70,70,67,68+2,68+2,68+2,65+2,62+2,62+2,62+2,65+2,47+2,50+2,50+2,50+2,47+2,45+2,49+2,49+2,49+2,45+2,15+2
192955,/player/192955/mateusz-klich/240002,24.0,2.0,2023-09-22,M. Klich,Mateusz Andrzej Klich,"CM, CDM, CF",74,74,2600000.0,8000.0,33,1990-06-13,183,84,688.0,DC United,39.0,Major League Soccer,1.0,LCM,43.0,,2023-01-12,2024.0,37,Poland,,,,Right,3,3,1,High/High,Normal (170-185),Yes,3800000.0,,Finesse Shot,64.0,71.0,74.0,72.0,66.0,71.0,68,72,49,77,60,73,73,65,73,75,67,62,61,72,67,67,66,76,73,73,63,67,72,77,76,78.0,68,70,60,11,16,12,11,14,,69+2,69+2,69+2,72,72,72,72,72,73+1,73+1,73+1,72+2,74,74,74,72+2,70+2,71+2,71+2,71+2,70+2,68+2,66+2,66+2,66+2,68+2,19+2
211119,/player/211119/pedro-miguel-martins-santos/240002,24.0,2.0,2023-09-22,Pedro Santos,Pedro Miguel Martins Santos,"LB, LM, RM",71,71,575000.0,4000.0,35,1988-04-22,178,76,688.0,DC United,39.0,Major League Soccer,1.0,LM,7.0,,2023-01-01,2024.0,38,Portugal,,,,Left,4,3,1,High/Medium,Normal (170-185),Yes,834000.0,,,69.0,68.0,70.0,73.0,68.0,65.0,70,64,60,71,66,74,79,73,64,73,70,68,71,70,72,75,66,78,58,70,66,66,70,70,69,73.0,71,70,65,14,8,12,12,7,,68+2,68+2,68+2,70,70,70,70,70,70+1,70+1,70+1,71,70+1,70+1,70+1,71,70+1,69+2,69+2,69+2,70+1,69+2,67+2,67+2,67+2,69+2,17+2
235166,/player/235166/mohanad-jeahze/240002,24.0,2.0,2023-09-22,M. Jeahze,Mohanad Abdulkadhim Qasim Al Jebur Jeahze,"LB, LWB",69,71,1600000.0,4000.0,26,1997-04-10,165,72,688.0,DC United,39.0,Major League Soccer,1.0,SUB,5.0,,2023-01-01,2025.0,162,Iraq,,,,Left,2,2,1,High/Medium,Normal (170-),No,2400000.0,,,82.0,53.0,65.0,68.0,61.0,68.0,70,52,48,64,45,66,64,64,61,67,81,82,81,61,82,61,65,89,57,52,70,60,59,65,42,62.0,61,65,64,6,10,13,8,7,,60+2,60+2,60+2,66,63,63,63,66,64+2,64+2,64+2,67+2,64+2,64+2,64+2,67+2,68+2,65+2,65+2,65+2,68+2,67+2,62+2,62+2,62+2,67+2,14+2
233314,/player/233314/russell-canouse/240002,24.0,2.0,2023-09-22,R. Canouse,Russell Canouse,"CDM, CM",69,70,1300000.0,4000.0,28,1995-06-11,178,76,688.0,DC United,39.0,Major League Soccer,1.0,RCM,6.0,,2017-08-11,2023.0,95,United States,,,,Right,3,2,1,Medium/High,Normal (170-185),Yes,2000000.0,,Long Ball Pass,65.0,53.0,57.0,65.0,68.0,79.0,37,46,69,67,49,62,41,48,63,68,65,65,68,66,69,65,78,81,78,56,78,66,51,60,54,67.0,69,68,69,15,6,10,15,13,,60+2,60+2,60+2,59,61,61,61,59,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,65+2,68+2,68+2,68+2,65+2,66+2,70,70,70,66+2,18+2
198705,/player/198705/andy-najar/240002,24.0,2.0,2023-09-22,A. Najar,Andy Aryel Najar Rodríguez,"RM, RB, CB",69,69,1300000.0,4000.0,30,1993-03-16,171,69,688.0,DC United,39.0,Major League Soccer,1.0,RM,14.0,,2021-04-16,2023.0,81,Honduras,,,,Right,4,3,2,High/Medium,Normal (170-185),No,1900000.0,,,71.0,62.0,67.0,72.0,71.0,66.0,68,61,61,67,58,72,68,63,66,73,70,72,71,71,74,63,70,59,66,61,72,74,66,65,66,69.0,72,71,70,12,9,12,8,16,,66+2,66+2,66+2,69,68,68,68,69,68+1,68+1,68+1,68+1,68+1,68+1,68+1,68+1,70-1,69,69,69,70-1,70-1,70-1,70-1,70-1,70-1,18+2
231878,/player/231878/tyler-miller/240002,24.0,2.0,2023-09-22,T. Miller,Tyler Austin Miller,GK,69,69,925000.0,3000.0,30,1993-03-12,193,88,688.0,DC United,39.0,Major League Soccer,1.0,GK,1.0,,2022-11-23,2024.0,95,United States,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,1300000.0,,,,,,,,,11,15,12,21,16,20,10,13,28,22,35,35,33,68,40,52,56,35,58,18,26,14,6,42,15,52.0,24,14,13,67,65,69,72,66,35.0,27+2,27+2,27+2,25,27,27,27,25,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,24+2,27+2,27+2,27+2,24+2,24+2,25+2,25+2,25+2,24+2,68+1
243545,/player/243545/jose-fajardo/240002,24.0,2.0,2023-09-22,J. Fajardo,José Fajardo,ST,69,69,1400000.0,5000.0,29,1993-08-18,180,69,688.0,DC United,39.0,Major League Soccer,1.0,RES,84.0,,2023-08-02,2023.0,87,Panama,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,2000000.0,,,67.0,69.0,57.0,63.0,33.0,68.0,46,74,74,66,65,60,61,45,59,67,66,68,66,62,67,64,79,65,72,65,60,26,73,52,69,62.0,35,26,23,9,14,14,7,6,,69,69,69,64,66,66,66,64,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,48+2,49+2,49+2,49+2,48+2,47+2,47+2,47+2,47+2,47+2,15+2
247031,/player/247031/donovan-pines/240002,24.0,2.0,2023-09-22,D. Pines,Donovan Pines,CB,68,74,1700000.0,3000.0,25,1998-03-07,185,91,688.0,DC United,39.0,Major League Soccer,1.0,SUB,23.0,,2019-01-22,2023.0,95,United States,,,,Right,3,2,1,Low/High,Lean (185+),No,2800000.0,,Slide Tackle,72.0,22.0,39.0,46.0,68.0,76.0,21,19,72,54,22,37,26,22,44,48,69,75,66,62,52,29,85,65,83,20,69,67,26,32,33,50.0,68,68,66,9,5,9,5,8,,44+2,44+2,44+2,42,42,42,42,42,43+2,43+2,43+2,44+2,47+2,47+2,47+2,44+2,57+2,60+2,60+2,60+2,57+2,61+2,68+2,68+2,68+2,61+2,13+2
214718,/player/214718/martin-rodriguez/240002,24.0,2.0,2023-09-22,M. Rodríguez,Martín Vladimir Rodríguez Torrejón,"LM, LW, ST",68,68,1200000.0,4000.0,28,1994-08-05,170,78,688.0,DC United,39.0,Major League Soccer,1.0,RES,77.0,,2022-07-07,2023.0,55,Chile,,,,Right,4,3,1,Medium/Medium,Normal (170-),Yes,1700000.0,,Technical,81.0,61.0,66.0,70.0,43.0,60.0,68,59,57,66,58,69,67,70,66,69,81,81,83,55,79,68,71,62,58,60,58,50,64,65,52,67.0,37,41,40,14,12,8,11,6,,64+2,64+2,64+2,68,66,66,66,68,67+1,67+1,67+1,67+1,63+2,63+2,63+2,67+1,58+2,55+2,55+2,55+2,58+2,56+2,51+2,51+2,51+2,56+2,15+2
