player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
190584,/player/190584/asier-illarramendi/240002,24.0,2.0,2023-09-22,Illarramendi,Asier Illarramendi Andonegi,"CM, CDM",77,77,6500000.0,10000.0,33,1990-03-08,179,74,695.0,Dallas,39.0,Major League Soccer,1.0,SUB,14.0,,2023-08-02,2023.0,45,Spain,,,,Right,3,3,2,Medium/High,Normal (170-185),Yes,9800000.0,,"Long Ball Pass, Press Proven, Trivela",41.0,69.0,76.0,76.0,75.0,67.0,68,68,51,78,58,76,76,68,77,78,49,34,67,79,70,69,58,66,65,76,73,80,75,81,53,78.0,78,76,75,15,7,11,14,12,,68+2,68+2,68+2,71,72,72,72,71,74+2,74+2,74+2,71+2,77,77,77,71+2,72+2,76+1,76+1,76+1,72+2,70+2,72+2,72+2,72+2,70+2,19+2
241487,/player/241487/jesus-ferreira/240002,24.0,2.0,2023-09-22,J. Ferreira,Jesús David Ferreira Castro,"ST, CAM",76,83,15500000.0,9000.0,22,2000-12-24,175,64,695.0,Dallas,39.0,Major League Soccer,1.0,ST,10.0,,2016-11-17,2025.0,95,United States,1387.0,RES,9.0,Right,4,2,1,High/Medium,Normal (170-185),Yes,26400000.0,,,84.0,74.0,71.0,77.0,45.0,67.0,68,76,71,74,65,73,70,47,69,78,76,91,84,80,86,77,76,86,59,71,60,31,80,78,67,74.0,40,53,39,13,12,12,13,6,,76+2,76+2,76+2,77,77,77,77,77,77+2,77+2,77+2,77+2,73+2,73+2,73+2,77+2,63+2,61+2,61+2,61+2,63+2,61+2,55+2,55+2,55+2,61+2,19+2
252238,/player/252238/alan-velasco/240002,24.0,2.0,2023-09-22,A. Velasco,Alan Agustín Velasco,"LM, LW, CAM",75,84,12500000.0,7000.0,20,2002-07-27,167,63,695.0,Dallas,39.0,Major League Soccer,1.0,CAM,20.0,,2022-02-10,2025.0,52,Argentina,,,,Right,4,4,1,High/Medium,Normal (170-),Yes,21300000.0,#Acrobat,"Whipped Cross, Technical, Flair",83.0,68.0,71.0,80.0,52.0,61.0,70,67,55,75,59,81,75,67,65,75,87,79,91,71,90,73,69,74,52,72,63,52,70,71,56,81.0,45,60,50,8,7,12,10,7,,70+2,70+2,70+2,75,74,74,74,75,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,66+2,63+2,63+2,63+2,66+2,64+2,57+2,57+2,57+2,64+2,15+2
202331,/player/202331/facundo-quignon/240002,24.0,2.0,2023-09-22,F. Quignon,Facundo Tomás Quignón,"CDM, CM",72,72,2000000.0,6000.0,30,1993-05-02,178,73,695.0,Dallas,39.0,Major League Soccer,1.0,RDM,5.0,,2021-06-14,2023.0,52,Argentina,,,,Left,3,3,1,Medium/High,Normal (170-185),No,3000000.0,,Long Ball Pass,59.0,53.0,66.0,74.0,70.0,74.0,55,46,72,75,53,73,59,51,70,78,69,51,71,66,67,69,77,79,69,54,77,66,53,65,57,74.0,71,71,68,14,7,15,7,10,,63+2,63+2,63+2,64,65,65,65,64,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,68+2,71+1,71+1,71+1,68+2,68+2,70+2,70+2,70+2,68+2,16+2
217714,/player/217714/paul-arriola/240002,24.0,2.0,2023-09-22,P. Arriola,Paul Joseph Arriola Hendricks,"RM, RW",72,72,2400000.0,7000.0,28,1995-02-05,168,66,695.0,Dallas,39.0,Major League Soccer,1.0,RM,7.0,,2022-02-10,2023.0,95,United States,,,,Right,3,3,1,High/High,Normal (170-),Yes,3600000.0,#Engine,,80.0,65.0,67.0,71.0,62.0,77.0,68,65,56,68,59,70,72,47,62,69,81,79,79,68,79,68,75,90,68,64,82,51,72,73,65,67.0,68,67,57,16,10,9,13,14,,68+2,68+2,68+2,71,70,70,70,71,70+2,70+2,70+2,71+1,69+2,69+2,69+2,71+1,68+2,67+2,67+2,67+2,68+2,67+2,65+2,65+2,65+2,67+2,19+2
236571,/player/236571/maarten-paes/240002,24.0,2.0,2023-09-22,M. Paes,Maarten Paes,GK,71,77,2300000.0,4000.0,25,1998-05-14,191,82,695.0,Dallas,39.0,Major League Soccer,1.0,GK,30.0,,2022-07-01,2025.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3900000.0,,Far Throw,,,,,,,13,10,13,22,9,14,12,10,28,22,31,32,35,68,32,51,57,34,60,8,19,12,11,35,10,33.0,12,12,14,72,66,68,70,74,31.0,26+2,26+2,26+2,23,25,25,25,23,25+2,25+2,25+2,25+2,26+2,26+2,26+2,25+2,23+2,25+2,25+2,25+2,23+2,22+2,23+2,23+2,23+2,22+2,70+2
244110,/player/244110/jesus-jimenez-nunez/240002,24.0,2.0,2023-09-22,Jesús Jiménez,Jesús Jiménez Núñez,ST,70,70,1600000.0,6000.0,29,1993-11-05,183,80,695.0,Dallas,39.0,Major League Soccer,1.0,SUB,9.0,,2023-02-20,2024.0,45,Spain,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,2400000.0,,"Finesse Shot, Technical, Flair, Trivela",79.0,70.0,65.0,72.0,37.0,69.0,62,72,57,69,61,72,62,54,60,69,80,79,82,66,71,74,78,80,75,61,37,32,75,66,69,70.0,38,34,33,12,6,12,15,6,,70,70,70,71-1,71-1,71-1,71-1,71-1,70,70,70,70,65+2,65+2,65+2,70,57+2,53+2,53+2,53+2,57+2,54+2,48+2,48+2,48+2,54+2,16+2
238049,/player/238049/paxton-pomykal/240002,24.0,2.0,2023-09-22,P. Pomykal,Paxton Pomykal,"CM, LM",69,77,3100000.0,4000.0,23,1999-12-17,173,73,695.0,Dallas,39.0,Major League Soccer,1.0,SUB,19.0,,2016-09-08,2023.0,95,United States,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,5300000.0,,Slide Tackle,74.0,57.0,70.0,72.0,61.0,68.0,65,51,42,74,56,73,63,65,69,67,77,71,81,66,82,62,63,80,67,63,58,51,65,70,55,73.0,71,66,57,10,6,13,6,11,,62+2,62+2,62+2,68,66,66,66,68,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,67+2,65+2,61+2,61+2,61+2,65+2,15+2
201447,/player/201447/sebastian-lletget/240002,24.0,2.0,2023-09-22,S. Lletget,Sebastian Francisco Lletget,"CM, RM",69,69,1300000.0,4000.0,30,1992-09-03,178,69,695.0,Dallas,39.0,Major League Soccer,1.0,SUB,12.0,,2022-08-04,2025.0,95,United States,,,,Right,5,4,1,High/High,Normal (170-185),Yes,2000000.0,,"Finesse Shot, Flair",71.0,61.0,70.0,71.0,60.0,72.0,67,60,55,78,59,69,67,54,62,72,69,72,75,72,72,71,73,78,76,55,56,61,68,71,56,75.0,62,61,58,6,14,13,7,9,,67+2,67+2,67+2,69,69,69,69,69,70-1,70-1,70-1,70-1,69,69,69,70-1,68+1,67+2,67+2,67+2,68+1,66+2,64+2,64+2,64+2,66+2,16+2
227594,/player/227594/jader-obrian/240002,24.0,2.0,2023-09-22,J. Obrian,Jáder Rafael Obrian Arias,"RM, RW, LM",68,68,1200000.0,4000.0,28,1995-05-18,165,63,695.0,Dallas,39.0,Major League Soccer,1.0,LM,8.0,,2021-02-10,2023.0,56,Colombia,,,,Right,3,3,1,Medium/Medium,Lean (170-),No,1800000.0,,Rapid,90.0,64.0,59.0,69.0,36.0,60.0,56,66,55,61,43,68,61,60,53,64,89,90,86,65,82,68,75,74,60,61,37,24,70,61,61,62.0,38,40,24,11,8,7,8,12,,66+2,66+2,66+2,68,68,68,68,68,66+2,66+2,66+2,67+1,60+2,60+2,60+2,67+1,54+2,49+2,49+2,49+2,54+2,52+2,45+2,45+2,45+2,52+2,16+2
234781,/player/234781/jose-antonio-martinez-gil/240002,24.0,2.0,2023-09-22,Martínez,José Antonio Martínez Gil,CB,68,68,1000000.0,3000.0,30,1993-02-12,188,83,695.0,Dallas,39.0,Major League Soccer,1.0,LCB,3.0,,2021-01-01,2023.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,1500000.0,,,43.0,36.0,51.0,53.0,68.0,73.0,33,36,72,69,32,46,33,32,63,63,47,40,45,64,52,44,75,68,77,27,67,69,32,40,47,59.0,66,68,68,12,8,6,8,6,,50+2,50+2,50+2,47,48,48,48,47,50+2,50+2,50+2,50+2,57+2,57+2,57+2,50+2,60+2,66+2,66+2,66+2,60+2,61+2,68,68,68,61+2,14+2
236587,/player/236587/marco-farfan/240002,24.0,2.0,2023-09-22,M. Farfan,Marco Farfan,"LB, LM",67,72,1400000.0,2000.0,24,1998-11-12,178,72,695.0,Dallas,39.0,Major League Soccer,1.0,LB,4.0,,2022-02-09,2025.0,95,United States,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,2200000.0,,,70.0,38.0,52.0,67.0,64.0,67.0,54,35,54,64,30,66,38,37,55,63,70,70,76,66,88,35,65,75,64,49,67,63,28,35,56,55.0,65,65,65,9,6,9,9,11,,50+2,50+2,50+2,56,52,52,52,56,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,65+2,63+2,63+2,63+2,65+2,65+2,64+2,64+2,64+2,65+2,15+2
242643,/player/242643/liam-fraser/240002,24.0,2.0,2023-09-22,L. Fraser,Liam Fraser,"CDM, CM, CB",66,69,1000000.0,2000.0,25,1998-02-13,185,83,695.0,Dallas,39.0,Major League Soccer,1.0,LDM,6.0,,2023-08-04,2023.0,70,Canada,,,,Right,3,2,1,Medium/High,Normal (185+),No,1600000.0,,Long Ball Pass,60.0,35.0,62.0,60.0,62.0,74.0,53,31,63,70,28,58,58,37,71,66,58,62,54,60,47,43,82,64,78,33,74,60,39,59,44,58.0,64,65,54,14,11,7,11,12,,51+2,51+2,51+2,55,54,54,54,55,57+2,57+2,57+2,58+2,61+2,61+2,61+2,58+2,61+2,65+2,65+2,65+2,61+2,61+2,65+2,65+2,65+2,61+2,17+2
202570,/player/202570/jimmy-maurer/240002,24.0,2.0,2023-09-22,J. Maurer,Jimmy Maurer,GK,65,65,120000.0,2000.0,34,1988-10-14,189,87,695.0,Dallas,39.0,Major League Soccer,1.0,SUB,1.0,,2018-02-07,2023.0,95,United States,,,,Left,2,1,1,Medium/Medium,Normal (185+),No,180000.0,,,,,,,,,15,11,28,29,11,14,15,12,36,25,39,40,39,50,39,50,65,35,67,17,36,16,12,56,14,46.0,14,13,16,66,63,66,68,65,39.0,28+2,28+2,28+2,26,28,28,28,26,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,24+2,28+2,28+2,28+2,24+2,25+2,28+2,28+2,28+2,25+2,64+1
