player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
158023,/player/158023/lionel-messi/240002,24.0,2.0,2023-09-22,L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,90,41000000.0,23000.0,36,1987-06-24,169,67,112893.0,Inter Miami,39.0,Major League Soccer,1.0,RF,10.0,,2023-07-16,2025.0,52,Argentina,1369.0,RW,10.0,Left,4,4,5,Low/Low,Unique,Yes,61500000.0,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Clinical finisher, #Complete midfielder, #Complete forward","Technical +, Finesse Shot, Dead Ball, Pinged Pass, Tiki Taka, Quick Step, Trivela",80.0,87.0,90.0,94.0,33.0,64.0,83,89,60,91,86,96,93,93,90,93,87,74,91,88,95,83,71,70,68,90,44,40,91,92,75,96.0,20,35,24,6,11,15,14,8,,85+3,85+3,85+3,90,89,89,89,90,91-1,91-1,91-1,89+1,85+3,85+3,85+3,89+1,64+3,63+3,63+3,63+3,64+3,59+3,49+3,49+3,49+3,59+3,19+3
189332,/player/189332/jordi-alba-ramos/240002,24.0,2.0,2023-09-22,Jordi Alba,Jordi Alba Ramos,LB,83,83,13500000.0,14000.0,34,1989-03-21,170,68,112893.0,Inter Miami,39.0,Major League Soccer,1.0,LB,18.0,,2023-07-21,2024.0,45,Spain,,,,Left,3,3,3,High/Medium,Unique,Yes,20300000.0,,"Jockey, Block, Anticipate, Rapid",84.0,70.0,82.0,81.0,76.0,70.0,84,73,70,85,75,79,82,63,81,82,86,83,88,79,84,64,78,83,61,66,75,80,83,78,59,80.0,72,78,78,13,15,13,6,13,,76+3,76+3,76+3,81,79,79,79,81,80+3,80+3,80+3,81+2,80+3,80+3,80+3,81+2,81+2,79+3,79+3,79+3,81+2,80+3,75+3,75+3,75+3,80+3,19+3
189511,/player/189511/sergio-busquets-burgos/240002,24.0,2.0,2023-09-22,Sergio Busquets,Sergio Busquets i Burgos,CDM,83,83,12500000.0,14000.0,34,1988-07-16,189,76,112893.0,Inter Miami,39.0,Major League Soccer,1.0,CM,5.0,,2023-07-16,2025.0,45,Spain,,,,Right,3,3,4,Medium/Medium,Lean (185+),Yes,18800000.0,,"Pinged Pass, Long Ball Pass, Anticipate, Press Proven",37.0,62.0,79.0,79.0,81.0,73.0,62,67,68,87,50,80,66,68,85,85,35,38,66,80,50,61,64,75,71,54,77,83,76,82,60,89.0,83,83,79,5,8,13,9,13,,69+3,69+3,69+3,71,73,73,73,71,76+3,76+3,76+3,73+3,81+2,81+2,81+2,73+3,75+3,82+1,82+1,82+1,75+3,74+3,78+3,78+3,78+3,74+3,17+3
256287,/player/256287/facundo-farias/240002,24.0,2.0,2023-09-22,F. Farías,Facundo Hernán Farías,"CAM, CF",75,85,12500000.0,7000.0,20,2002-08-28,171,69,112893.0,Inter Miami,39.0,Major League Soccer,1.0,LF,11.0,,2023-07-29,2026.0,52,Argentina,,,,Right,3,4,1,High/Low,Stocky (170-185),No,21300000.0,#Acrobat,"Finesse Shot, Flair, First Touch, Trickster, Press Proven",86.0,72.0,68.0,83.0,39.0,70.0,64,69,63,73,71,83,69,49,70,80,91,82,90,72,91,82,74,71,69,69,72,29,73,68,74,80.0,33,43,37,6,13,6,6,13,,74+2,74+2,74+2,76,76,76,76,76,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,59+2,58+2,58+2,58+2,59+2,57+2,52+2,52+2,52+2,57+2,16+2
207877,/player/207877/josef-martinez/240002,24.0,2.0,2023-09-22,J. Martínez,Josef Alexander Martínez Mencia,ST,75,75,5500000.0,10000.0,30,1993-05-19,173,74,112893.0,Inter Miami,39.0,Major League Soccer,1.0,ST,17.0,,2023-01-18,2023.0,61,Venezuela,,,,Right,4,3,2,Medium/Low,Stocky (170-185),Yes,8300000.0,,"Power Header, Flair, Trivela",83.0,75.0,60.0,74.0,23.0,68.0,49,76,73,67,73,71,68,57,59,74,82,83,83,77,88,82,86,54,74,66,66,18,75,60,79,75.0,15,21,15,12,14,14,12,8,,75,75,75,71,73,73,73,71,71+2,71+2,71+2,69+2,62+2,62+2,62+2,69+2,48+2,47+2,47+2,47+2,48+2,45+2,43+2,43+2,43+2,45+2,19+2
251410,/player/251410/gregore-de-magalhaes-da-s/240002,24.0,2.0,2023-09-22,Gregore,Gregore de Magalhães da S.,"CDM, CM",73,73,2600000.0,7000.0,29,1994-03-02,181,78,112893.0,Inter Miami,39.0,Major League Soccer,1.0,RES,26.0,,2021-02-24,2027.0,54,Brazil,,,,Right,3,2,1,Medium/High,Normal (170-185),No,3900000.0,,Slide Tackle,74.0,55.0,64.0,68.0,72.0,84.0,56,45,71,77,32,68,49,48,64,67,73,75,66,67,81,73,87,77,84,69,90,70,46,58,46,70.0,72,75,72,7,9,14,15,15,,63+2,63+2,63+2,63,63,63,63,63,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,70+2,72+1,72+1,72+1,70+2,71+2,75-2,75-2,75-2,71+2,18+2
206414,/player/206414/sergiy-kryvtsov/240002,24.0,2.0,2023-09-22,S. Kryvtsov,Sergiy Kryvtsov,CB,72,72,1500000.0,6000.0,32,1991-03-15,186,83,112893.0,Inter Miami,39.0,Major League Soccer,1.0,SUB,27.0,,2023-02-01,2024.0,49,Ukraine,1366.0,SUB,18.0,Right,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,,Power Header,65.0,44.0,56.0,51.0,71.0,77.0,37,38,75,72,24,42,28,29,68,54,64,66,57,70,70,65,74,71,80,42,80,71,55,50,37,69.0,72,69,69,14,7,14,15,16,,57+2,57+2,57+2,53,55,55,55,53,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,64+2,69+2,69+2,69+2,64+2,66+2,72,72,72,66+2,19+2
209238,/player/209238/jean-mota-oliveira-de-sousa/240002,24.0,2.0,2023-09-22,Jean Mota,Jean Mota Oliveira de Sousa,"CM, CDM",72,72,2300000.0,7000.0,29,1993-10-15,172,75,112893.0,Inter Miami,39.0,Major League Soccer,1.0,SUB,7.0,,2022-01-01,2024.0,54,Brazil,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,3500000.0,,,72.0,64.0,73.0,72.0,60.0,61.0,67,62,51,78,55,71,72,64,73,77,69,74,68,67,74,69,61,75,59,66,50,61,65,74,71,66.0,56,65,63,15,9,10,7,14,,66+2,66+2,66+2,70,70,70,70,70,72,72,72,71+1,72,72,72,71+1,68+2,67+2,67+2,67+2,68+2,67+2,61+2,61+2,61+2,67+2,17+2
236281,/player/236281/franco-negri/240002,24.0,2.0,2023-09-22,F. Negri,Franco Negri,"LB, LM",72,72,2100000.0,6000.0,28,1995-02-20,174,76,112893.0,Inter Miami,39.0,Major League Soccer,1.0,SUB,33.0,,2023-01-11,2024.0,52,Argentina,,,,Left,3,2,1,High/Medium,Normal (170-185),No,3200000.0,,,80.0,59.0,66.0,71.0,66.0,69.0,68,60,59,70,47,73,63,43,66,68,80,80,71,63,74,67,74,77,66,50,63,66,65,64,51,70.0,64,70,71,6,6,15,9,10,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,70+2,67+2,67+2,67+2,70+2,70+2,68+2,68+2,68+2,70+2,70+2,67+2,67+2,67+2,70+2,14+2
247648,/player/247648/kamal-miller/240002,24.0,2.0,2023-09-22,K. Miller,Kamal Anthony Miller,CB,71,74,2200000.0,5000.0,26,1997-05-16,183,74,112893.0,Inter Miami,39.0,Major League Soccer,1.0,LCB,31.0,,2023-04-16,2024.0,70,Canada,,,,Left,3,3,1,High/High,Normal (170-185),No,3500000.0,,Slide Tackle,81.0,48.0,62.0,66.0,68.0,81.0,50,46,67,74,46,68,45,28,70,68,78,84,62,68,46,54,86,80,84,43,74,68,60,61,59,64.0,65,68,73,8,11,12,7,12,,63+2,63+2,63+2,64,64,64,64,64,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,69+2,70+2,70+2,70+2,69+2,70+2,71+2,71+2,71+2,70+2,16+2
