player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
178224,/player/178224/javier-hernandez/240002,24.0,2.0,2023-09-22,J. Hernández,Javier Hernández Balcázar,ST,77,77,4500000.0,8000.0,35,1988-06-01,175,73,697.0,LA Galaxy,39.0,Major League Soccer,1.0,RES,14.0,,2020-01-21,2023.0,83,Mexico,,,,Right,3,3,3,Medium/Low,Normal (170-185),Yes,6800000.0,,"Finesse Shot, First Touch, Trivela, Acrobatic",68.0,76.0,64.0,76.0,31.0,68.0,63,80,77,66,75,74,67,52,57,78,72,65,71,84,75,75,81,70,68,66,62,26,86,67,67,81.0,21,31,25,14,12,9,12,11,,77,77,77,74,76,76,76,74,73+3,73+3,73+3,72+3,67+3,67+3,67+3,72+3,54+3,52+3,52+3,52+3,54+3,51+3,47+3,47+3,47+3,51+3,20+3
242816,/player/242816/ricard-puig-marti/240002,24.0,2.0,2023-09-22,Riqui Puig,Ricard Puig Martí,"CM, CAM",75,82,11000000.0,8000.0,23,1999-08-13,169,56,697.0,LA Galaxy,39.0,Major League Soccer,1.0,CAM,6.0,,2022-08-04,2025.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-),No,18700000.0,,"Finesse Shot, Pinged Pass, Long Ball Pass, Tiki Taka, Flair, First Touch, Press Proven",65.0,64.0,73.0,80.0,58.0,50.0,60,63,49,80,56,80,66,51,77,80,68,63,82,73,85,66,47,72,33,68,65,61,64,80,55,77.0,53,65,53,12,15,14,12,9,,65+2,65+2,65+2,72,72,72,72,72,75+2,75+2,75+2,73+2,75+2,75+2,75+2,73+2,66+2,68+2,68+2,68+2,66+2,64+2,58+2,58+2,58+2,64+2,19+2
191648,/player/191648/maya-yoshida/240002,24.0,2.0,2023-09-22,M. Yoshida,吉田 麻也,CB,73,73,1000000.0,7000.0,34,1988-08-24,189,90,697.0,LA Galaxy,39.0,Major League Soccer,1.0,RCB,4.0,,2023-08-02,2024.0,163,Japan,,,,Right,4,2,1,Medium/High,Lean (185+),Yes,1500000.0,,Aerial,56.0,41.0,51.0,63.0,76.0,71.0,36,34,72,64,56,60,38,33,55,67,51,60,63,72,57,50,75,62,76,41,68,74,42,50,54,68.0,75,79,73,12,16,8,6,13,,55+2,55+2,55+2,54,55,55,55,54,56+2,56+2,56+2,55+2,60+2,60+2,60+2,55+2,65+2,69+2,69+2,69+2,65+2,67+2,73,73,73,67+2,18+2
205726,/player/205726/gaston-brugman/240002,24.0,2.0,2023-09-22,G. Brugman,Gastón Brugman Duarte,"CM, CDM",73,73,2900000.0,8000.0,30,1992-09-07,175,66,697.0,LA Galaxy,39.0,Major League Soccer,1.0,RES,5.0,,2022-07-07,2025.0,60,Uruguay,,,,Right,3,3,1,High/High,Lean (170-185),No,4400000.0,,"Press Proven, Relentless",70.0,68.0,71.0,74.0,69.0,71.0,59,60,55,76,61,73,74,68,75,73,73,68,75,74,83,80,70,81,67,75,69,69,67,72,67,75.0,68,73,69,10,15,10,8,11,,68+2,68+2,68+2,70,71,71,71,70,72+1,72+1,72+1,71+2,73,73,73,71+2,71+2,72+1,72+1,72+1,71+2,70+2,69+2,69+2,69+2,70+2,18+2
251105,/player/251105/dejan-joveljic/240002,24.0,2.0,2023-09-22,D. Joveljić,Dejan Joveljić,ST,71,76,2900000.0,6000.0,23,1999-08-07,181,75,697.0,LA Galaxy,39.0,Major League Soccer,1.0,ST,9.0,,2021-08-05,2025.0,51,Serbia,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4600000.0,,,76.0,70.0,63.0,71.0,31.0,72.0,59,72,70,69,68,70,65,39,60,70,78,75,77,73,69,70,84,71,77,64,59,28,70,66,70,67.0,22,31,29,9,13,6,7,5,,71+2,71+2,71+2,70,70,70,70,70,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,54+2,52+2,52+2,52+2,54+2,51+2,48+2,48+2,48+2,51+2,15+2
182495,/player/182495/martin-caceres/240002,24.0,2.0,2023-09-22,M. Cáceres,José Martín Cáceres Silva,"CB, RB, RM",71,71,325000.0,4000.0,36,1987-04-07,181,78,697.0,LA Galaxy,39.0,Major League Soccer,1.0,RES,22.0,,2022-08-25,2023.0,60,Uruguay,,,,Right,3,3,2,Medium/High,Normal (170-185),No,488000.0,,"Power Header, Slide Tackle, Long Throw",67.0,51.0,64.0,67.0,70.0,75.0,66,37,72,68,65,65,68,41,64,67,65,68,69,67,76,69,87,70,75,59,78,70,50,58,50,71.0,70,69,69,2,3,4,2,4,,60+2,60+2,60+2,61,60,60,60,61,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,68+2,69+2,69+2,69+2,68+2,68+2,71,71,71,68+2,10+2
163050,/player/163050/billy-sharp/240002,24.0,2.0,2023-09-22,B. Sharp,Billy Sharp,ST,70,70,550000.0,4000.0,37,1986-02-05,175,70,697.0,LA Galaxy,39.0,Major League Soccer,1.0,SUB,27.0,,2023-08-15,2023.0,14,England,,,,Right,3,2,1,Medium/Medium,Stocky (170-185),Yes,825000.0,,Finesse Shot,53.0,74.0,62.0,63.0,39.0,66.0,61,79,72,65,72,56,65,55,53,68,57,50,63,76,71,72,74,49,70,62,73,33,78,65,75,81.0,39,34,28,7,8,11,11,8,,70,70,70,65,68,68,68,65,66+2,66+2,66+2,63+2,61+2,61+2,61+2,63+2,50+2,52+2,52+2,52+2,50+2,49+2,51+2,51+2,51+2,49+2,16+2
201895,/player/201895/diego-fagundez/240002,24.0,2.0,2023-09-22,D. Fagundez,Diego Santiago Fagúndez Pepe,"LM, RM, CAM",70,70,1600000.0,5000.0,28,1995-02-14,173,64,697.0,LA Galaxy,39.0,Major League Soccer,1.0,RM,21.0,,2023-08-01,2024.0,60,Uruguay,,,,Right,3,4,1,High/Medium,Normal (170-185),Yes,2400000.0,,Technical,74.0,64.0,69.0,74.0,39.0,61.0,68,60,48,69,61,74,70,70,65,71,75,73,86,66,80,75,61,68,56,64,63,30,66,70,52,68.0,35,49,33,6,11,7,14,8,,65+2,65+2,65+2,70,69,69,69,70,69+1,69+1,69+1,69+1,65+2,65+2,65+2,69+1,57+2,55+2,55+2,55+2,57+2,54+2,48+2,48+2,48+2,54+2,16+2
208592,/player/208592/mark-delgado/240002,24.0,2.0,2023-09-22,M. Delgado,Marky Delgado,"CDM, CM",70,70,1400000.0,5000.0,28,1995-05-16,175,67,697.0,LA Galaxy,39.0,Major League Soccer,1.0,SUB,8.0,,2022-01-22,2024.0,95,United States,,,,Right,2,3,1,Medium/High,Normal (170-185),No,2100000.0,,,67.0,52.0,64.0,66.0,65.0,70.0,54,50,55,74,46,61,59,39,68,67,71,63,76,67,75,66,68,87,62,44,70,70,54,61,48,66.0,64,66,62,9,7,13,11,15,,59+2,59+2,59+2,62,62,62,62,62,63+2,63+2,63+2,64+2,66+2,66+2,66+2,64+2,67+2,69+1,69+1,69+1,67+2,67+2,65+2,65+2,65+2,67+2,17+2
211672,/player/211672/tyler-boyd/240002,24.0,2.0,2023-09-22,T. Boyd,Tyler Dominic Boyd,"LM, RM",70,70,1600000.0,5000.0,28,1994-12-30,183,66,697.0,LA Galaxy,39.0,Major League Soccer,1.0,LM,11.0,,2023-02-20,2023.0,95,United States,,,,Right,4,3,1,High/High,Normal (170-185),No,2400000.0,,"Rapid, Trivela",85.0,69.0,63.0,73.0,48.0,64.0,63,67,51,66,70,73,73,68,44,70,85,85,83,67,86,78,71,68,62,67,63,47,66,66,65,66.0,48,48,49,8,7,14,14,7,,68+2,68+2,68+2,71-1,70,70,70,71-1,69+1,69+1,69+1,69+1,63+2,63+2,63+2,69+1,62+2,57+2,57+2,57+2,62+2,60+2,55+2,55+2,55+2,60+2,16+2
