player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
234468,/player/234468/emanuel-reynoso/240002,24.0,2.0,2023-09-22,E. Reynoso,Emanuel Reynoso,"CAM, LM",79,80,20000000.0,12000.0,27,1995-11-16,176,67,111138.0,Minnesota United,39.0,Major League Soccer,1.0,CAM,10.0,,2020-09-01,2025.0,52,Argentina,,,,Left,3,4,2,Medium/Low,Normal (170-185),No,31500000.0,,"Finesse Shot, Incisive Pass, Technical",65.0,67.0,78.0,80.0,59.0,67.0,71,65,59,81,48,81,73,77,77,80,77,56,84,78,73,70,72,68,64,71,71,60,83,83,61,80.0,62,57,54,7,11,9,5,9,,72+2,72+2,72+2,76,76,76,76,76,79+1,79+1,79+1,76+2,77+2,77+2,77+2,76+2,68+2,70+2,70+2,70+2,68+2,65+2,63+2,63+2,63+2,65+2,16+2
190362,/player/190362/teemu-pukki/240002,24.0,2.0,2023-09-22,T. Pukki,Teemu Eino Antero Pukki,ST,75,75,3600000.0,10000.0,33,1990-03-29,180,78,111138.0,Minnesota United,39.0,Major League Soccer,1.0,ST,22.0,,2023-07-01,2025.0,17,Finland,1334.0,RS,10.0,Right,3,3,1,High/High,Normal (170-185),Yes,5400000.0,,Finesse Shot,77.0,76.0,62.0,72.0,36.0,73.0,45,79,63,71,74,69,53,42,61,73,77,77,74,80,72,75,78,85,71,66,64,54,83,72,79,79.0,30,29,16,13,8,8,9,7,,75,75,75,72,75,75,75,72,73+2,73+2,73+2,71+2,69+2,69+2,69+2,71+2,56+2,58+2,58+2,58+2,56+2,53+2,50+2,50+2,50+2,53+2,17+2
228312,/player/228312/robin-lod/240002,24.0,2.0,2023-09-22,R. Lod,Robin Lod,"RM, ST, CM",73,73,2900000.0,8000.0,30,1993-04-17,181,82,111138.0,Minnesota United,39.0,Major League Soccer,1.0,SUB,17.0,,2019-07-16,2023.0,17,Finland,1334.0,RES,27.0,Left,4,3,1,Medium/Medium,Normal (170-185),No,4400000.0,,"Whipped Cross, Press Proven",73.0,71.0,71.0,73.0,56.0,71.0,68,72,61,73,67,72,72,66,70,75,74,73,74,67,72,74,69,73,75,70,58,51,70,74,64,68.0,64,51,47,7,13,8,15,10,,71+2,71+2,71+2,72,72,72,72,72,72+1,72+1,72+1,72+1,70+2,70+2,70+2,72+1,64+2,64+2,64+2,64+2,64+2,62+2,60+2,60+2,60+2,62+2,17+2
207440,/player/207440/franco-fragapane/240002,24.0,2.0,2023-09-22,F. Fragapane,Franco Rodrigo Fragapane,"LM, CAM",72,72,2300000.0,7000.0,30,1993-02-06,167,66,111138.0,Minnesota United,39.0,Major League Soccer,1.0,SUB,7.0,,2021-05-19,2024.0,52,Argentina,,,,Right,3,3,1,High/Medium,Normal (170-),No,3500000.0,#Acrobat,"Finesse Shot, Rapid",88.0,65.0,67.0,76.0,40.0,54.0,61,61,43,71,69,74,73,63,67,72,89,87,91,67,89,69,62,74,54,66,27,50,64,67,69,74.0,40,35,29,9,11,10,12,10,,66+2,66+2,66+2,71,70,70,70,71,71+1,71+1,71+1,71+1,67+2,67+2,67+2,71+1,59+2,55+2,55+2,55+2,59+2,56+2,46+2,46+2,46+2,56+2,17+2
247228,/player/247228/dayne-st-clair/240002,24.0,2.0,2023-09-22,D. St. Clair,Dayne St. Clair,GK,71,76,2200000.0,4000.0,26,1997-05-09,191,75,111138.0,Minnesota United,39.0,Major League Soccer,1.0,GK,97.0,,2019-01-11,2024.0,70,Canada,,,,Left,3,1,1,Medium/Medium,Lean (185+),No,3500000.0,,Footwork,,,,,,,14,5,11,16,6,9,10,13,26,19,27,26,39,72,21,42,47,26,47,8,27,9,5,38,10,39.0,8,10,12,71,66,56,70,76,27.0,21+2,21+2,21+2,20,22,22,22,20,22+2,22+2,22+2,21+2,23+2,23+2,23+2,21+2,20+2,22+2,22+2,22+2,20+2,20+2,20+2,20+2,20+2,20+2,70+2
213302,/player/213302/ismael-tajouri-shradi/240002,24.0,2.0,2023-09-22,I. Tajouri-Shradi,Ismael Tajouri-Shradi,"RM, RW, LW",70,70,1600000.0,5000.0,29,1994-03-28,170,64,111138.0,Minnesota United,39.0,Major League Soccer,1.0,SUB,18.0,,2023-07-06,2023.0,123,Libya,,,,Left,4,3,1,High/Low,Normal (170-),No,2400000.0,,"Finesse Shot, Rapid, Flair",82.0,70.0,63.0,72.0,33.0,56.0,65,70,45,66,62,71,71,66,57,71,86,78,84,64,82,75,68,66,60,70,32,26,69,59,57,64.0,34,32,32,15,12,11,9,14,,68+2,68+2,68+2,70,69,69,69,70,68+2,68+2,68+2,69+1,62+2,62+2,62+2,69+1,54+2,49+2,49+2,49+2,54+2,51+2,42+2,42+2,42+2,51+2,18+2
234624,/player/234624/bakaye-dibassy/240002,24.0,2.0,2023-09-22,B. Dibassy,Bakaye Dibassy,"CB, LB",70,70,750000.0,5000.0,33,1989-08-11,183,74,111138.0,Minnesota United,39.0,Major League Soccer,1.0,SUB,12.0,,2020-08-12,2023.0,126,Mali,,,,Left,2,2,1,Medium/High,Normal (170-185),No,1100000.0,,,65.0,54.0,60.0,65.0,70.0,78.0,68,48,64,68,44,64,54,35,58,66,63,66,67,67,66,68,67,86,77,59,72,71,60,48,36,64.0,72,70,68,6,5,8,9,5,,62+2,62+2,62+2,62,61,61,61,62,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,70,69+1,69+1,69+1,70,70,70,70,70,70,13+2
264516,/player/264516/bongokuhle-hlongwane/240002,24.0,2.0,2023-09-22,B. Hlongwane,Bongokuhle Hlongwane,"RM, LM",69,75,2200000.0,4000.0,23,2000-06-20,182,75,111138.0,Minnesota United,39.0,Major League Soccer,1.0,RM,21.0,,2022-01-05,2024.0,140,South Africa,,,,Right,3,3,1,High/High,Normal (170-185),No,3700000.0,,Rapid,75.0,67.0,58.0,71.0,49.0,66.0,57,69,63,66,54,73,45,38,45,69,73,77,67,69,73,72,74,74,68,62,49,36,69,64,68,66.0,50,54,45,8,13,11,14,10,,69+2,69+2,69+2,68,69,69,69,68,67+2,67+2,67+2,68+2,63+2,63+2,63+2,68+2,59+2,56+2,56+2,56+2,59+2,58+2,55+2,55+2,55+2,58+2,18+2
194063,/player/194063/jan-gregus/240002,24.0,2.0,2023-09-22,J. Greguš,Ján Greguš,"CDM, CM",69,69,925000.0,4000.0,32,1991-01-29,189,79,111138.0,Minnesota United,39.0,Major League Soccer,1.0,LDM,24.0,,2023-08-02,2024.0,43,Slovakia,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,1400000.0,,Jockey,63.0,68.0,72.0,67.0,65.0,73.0,70,61,61,74,64,68,69,68,71,68,60,66,66,63,65,77,71,73,73,75,74,64,68,71,64,69.0,65,65,66,8,7,13,7,6,,67+2,67+2,67+2,67,68,68,68,67,69,69,69,68+1,69,69,69,68+1,67+2,68+1,68+1,68+1,67+2,66+2,67+2,67+2,67+2,66+2,13+2
202170,/player/202170/michael-boxall/240002,24.0,2.0,2023-09-22,M. Boxall,Michael Joseph Boxall,CB,69,69,450000.0,4000.0,34,1988-08-18,188,91,111138.0,Minnesota United,39.0,Major League Soccer,1.0,RCB,15.0,,2017-07-12,2023.0,198,New Zealand,111473.0,RCB,5.0,Right,2,2,1,Medium/Medium,Normal (185+),Yes,675000.0,#Strength,,55.0,42.0,58.0,57.0,67.0,80.0,58,35,65,64,54,56,56,43,57,60,42,66,47,66,50,61,73,67,91,33,69,67,59,52,42,60.0,66,69,66,13,9,14,7,8,,57+2,57+2,57+2,55,55,55,55,55,55+2,55+2,55+2,57+2,59+2,59+2,59+2,57+2,63+2,65+2,65+2,65+2,63+2,64+2,69,69,69,64+2,16+2
