player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
210930,/player/210930/carles-gil-pareja/240002,24.0,2.0,2023-09-22,Carles Gil,Carles Gil de Pareja Vicent,"CAM, RM",79,79,17000000.0,12000.0,30,1992-11-02,170,65,691.0,New England,39.0,Major League Soccer,1.0,CAM,10.0,,2019-02-13,2024.0,45,Spain,,,,Left,4,4,2,High/Medium,Normal (170-),Yes,25500000.0,,"Pinged Pass, Incisive Pass, Press Proven, Trivela",70.0,69.0,80.0,79.0,38.0,62.0,77,71,33,82,70,80,75,64,77,80,74,67,73,79,74,62,58,84,61,71,40,39,78,85,68,76.0,35,42,38,12,15,16,9,6,,69+2,69+2,69+2,77,76,76,76,77,79,79,79,78+1,76+2,76+2,76+2,78+1,63+2,61+2,61+2,61+2,63+2,58+2,47+2,47+2,47+2,58+2,18+2
188955,/player/188955/gustavo-bou/240002,24.0,2.0,2023-09-22,G. Bou,Gustavo Leonardo Bou,"ST, LM",75,75,3600000.0,10000.0,33,1990-02-18,175,72,691.0,New England,39.0,Major League Soccer,1.0,SUB,7.0,,2019-07-10,2023.0,52,Argentina,,,,Right,4,4,1,Medium/Low,Normal (170-185),Yes,5400000.0,,"Power Shot +, Bruiser, Flair",75.0,77.0,68.0,74.0,32.0,72.0,68,72,68,68,69,73,65,70,63,74,74,75,73,74,76,91,79,69,75,80,65,38,77,72,71,75.0,23,28,23,6,6,15,16,7,,75,75,75,73,74,74,74,73,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,55+2,54+2,54+2,54+2,55+2,52+2,48+2,48+2,48+2,52+2,16+2
241026,/player/241026/tomas-chancalay/240002,24.0,2.0,2023-09-22,T. Chancalay,Tomás Alejandro Chancalay,"LM, RM",74,77,6000000.0,15000.0,24,1999-01-01,179,76,691.0,New England,39.0,Major League Soccer,1.0,LM,5.0,Racing Club,,2023.0,52,Argentina,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,,,Flair,81.0,72.0,70.0,75.0,40.0,62.0,71,70,57,70,59,76,78,72,71,72,81,81,82,69,80,79,71,72,58,77,57,42,70,67,63,71.0,30,42,38,10,8,8,7,8,,71+2,71+2,71+2,73,72,72,72,73,72+2,72+2,72+2,73+2,68+2,68+2,68+2,73+2,60+2,57+2,57+2,57+2,60+2,57+2,50+2,50+2,50+2,57+2,15+2
204120,/player/204120/tomas-vaclik/240002,24.0,2.0,2023-09-22,T. Vaclík,Tomáš Vaclík,GK,73,73,525000.0,6000.0,34,1989-03-29,188,85,691.0,New England,39.0,Major League Soccer,1.0,SUB,1.0,,2023-08-28,2024.0,12,Czech Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,788000.0,,,,,,,,,15,14,19,28,13,14,17,16,45,20,42,37,47,67,56,51,68,38,72,16,29,23,15,67,13,61.0,20,18,18,74,71,68,72,76,40.0,29+2,29+2,29+2,28,30,30,30,28,33+2,33+2,33+2,30+2,35+2,35+2,35+2,30+2,27+2,32+2,32+2,32+2,27+2,27+2,30+2,30+2,30+2,27+2,72+1
246803,/player/246803/dejuan-jones/240002,24.0,2.0,2023-09-22,D. Jones,DeJuan Lytelle Jones,"LB, RB",72,75,2800000.0,6000.0,26,1997-06-24,180,75,691.0,New England,39.0,Major League Soccer,1.0,LB,24.0,,2019-02-25,2024.0,95,United States,,,,Right,5,2,1,High/Medium,Normal (170-185),No,4400000.0,,,82.0,56.0,65.0,70.0,67.0,75.0,68,56,69,68,47,69,62,40,68,68,80,84,85,68,71,65,76,77,76,49,68,63,64,63,55,62.0,69,69,65,8,10,14,8,12,,66+2,66+2,66+2,68,66,66,66,68,67+2,67+2,67+2,69+2,67+2,67+2,67+2,69+2,70+2,68+2,68+2,68+2,70+2,70+2,69+2,69+2,69+2,70+2,16+2
255110,/player/255110/henry-kessler/240002,24.0,2.0,2023-09-22,H. Kessler,Frederick Henry Kessler,CB,71,76,2500000.0,5000.0,25,1998-06-25,193,84,691.0,New England,39.0,Major League Soccer,1.0,RES,4.0,,2020-01-09,2023.0,95,United States,,,,Right,3,2,1,Low/High,Normal (185+),Yes,3900000.0,,Slide Tackle,54.0,27.0,49.0,60.0,71.0,77.0,22,23,74,72,28,57,32,28,69,64,61,49,59,65,59,39,83,75,84,21,60,69,21,28,38,63.0,70,72,70,10,6,6,14,11,,48+2,48+2,48+2,47,47,47,47,47,50+2,50+2,50+2,51+2,57+2,57+2,57+2,51+2,62+2,68+2,68+2,68+2,62+2,64+2,71+2,71+2,71+2,64+2,16+2
242554,/player/242554/brandon-bye/240002,24.0,2.0,2023-09-22,B. Bye,Brandon Bye,RB,71,72,2000000.0,5000.0,27,1995-11-29,183,79,691.0,New England,39.0,Major League Soccer,1.0,SUB,15.0,,2018-02-10,2024.0,95,United States,,,,Right,3,2,1,High/Medium,Normal (170-185),Yes,3200000.0,,,77.0,58.0,61.0,65.0,68.0,73.0,69,55,67,62,51,64,60,47,57,65,74,79,69,68,61,68,78,81,73,56,62,65,62,58,48,63.0,68,70,65,7,10,8,7,10,,64+2,64+2,64+2,65,64,64,64,65,63+2,63+2,63+2,66+2,63+2,63+2,63+2,66+2,69+2,66+2,66+2,66+2,69+2,69+2,68+2,68+2,68+2,69+2,15+2
235194,/player/235194/giacomo-vrioni/240002,24.0,2.0,2023-09-22,G. Vrioni,Giacomo Vrioni,ST,70,76,2500000.0,5000.0,24,1998-10-15,188,85,691.0,New England,39.0,Major League Soccer,1.0,ST,9.0,,2022-07-07,2025.0,1,Albania,,,,Left,4,4,1,High/Low,Lean (185+),No,4300000.0,,,74.0,70.0,55.0,67.0,23.0,71.0,38,72,62,63,65,67,60,61,50,70,67,79,63,66,61,71,76,64,77,65,63,20,75,57,73,61.0,22,15,20,6,9,8,11,10,,70+2,70+2,70+2,66,68,68,68,66,66+2,66+2,66+2,64+2,59+2,59+2,59+2,64+2,46+2,45+2,45+2,45+2,46+2,43+2,42+2,42+2,42+2,43+2,15+2
226793,/player/226793/matt-polster/240002,24.0,2.0,2023-09-22,M. Polster,Matthew Ryan Polster,"CDM, CM, RB",70,70,1300000.0,5000.0,30,1993-06-08,183,77,691.0,New England,39.0,Major League Soccer,1.0,RB,8.0,,2020-08-12,2023.0,95,United States,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2000000.0,,Slide Tackle,46.0,46.0,66.0,64.0,65.0,79.0,58,46,62,74,34,67,63,38,71,65,39,52,53,64,53,49,66,88,78,49,71,67,49,62,39,65.0,65,65,63,15,10,11,14,10,,56+2,56+2,56+2,58,58,58,58,58,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,66+2,69+1,69+1,69+1,66+2,64+2,67+2,67+2,67+2,64+2,18+2
212592,/player/212592/andrew-farrell/240002,24.0,2.0,2023-09-22,A. Farrell,Andrew Farrell,CB,69,69,950000.0,4000.0,31,1992-04-03,180,75,691.0,New England,39.0,Major League Soccer,1.0,SUB,88.0,,2013-01-17,2023.0,95,United States,,,,Right,2,2,1,Medium/Medium,Stocky (170-185),Yes,1400000.0,,Long Ball Pass,74.0,47.0,63.0,66.0,67.0,78.0,58,38,58,68,52,65,55,53,69,65,73,74,73,68,66,61,79,78,81,51,72,67,57,58,31,64.0,69,69,68,15,16,12,10,15,,59+2,59+2,59+2,62,61,61,61,62,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,68+1,69,69,69,68+1,68+1,69,69,69,68+1,20+2
