player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
183895,/player/183895/maxi-moralez/240002,24.0,2.0,2023-09-22,M. Moralez,Maximiliano Nicol Moralez,"CAM, CM, CF",75,75,1800000.0,7000.0,36,1987-02-27,159,54,112828.0,New York City,39.0,Major League Soccer,1.0,CAM,27.0,,2023-08-08,2024.0,52,Argentina,,,,Right,4,4,2,High/Medium,Normal (170-),Yes,2700000.0,,"Tiki Taka, Technical",67.0,69.0,75.0,77.0,52.0,49.0,73,68,56,77,69,77,76,69,73,78,77,59,76,73,83,67,49,69,33,70,65,44,75,76,71,76.0,48,59,52,6,5,14,14,9,,68+2,68+2,68+2,74,73,73,73,74,75,75,75,74+1,73+2,73+2,73+2,74+1,64+2,63+2,63+2,63+2,64+2,62+2,54+2,54+2,54+2,62+2,16+2
253755,/player/253755/talles-magno-bacelar-martins/240002,24.0,2.0,2023-09-22,Talles Magno,Talles Magno Bacelar Martins,"CF, ST, LM",73,84,7000000.0,6000.0,21,2002-06-26,186,70,112828.0,New York City,39.0,Major League Soccer,1.0,SUB,43.0,,2021-05-18,2026.0,54,Brazil,,,,Right,4,5,1,High/Low,Lean (185+),No,11900000.0,,"Flair, First Touch, Trickster, Press Proven, Quick Step, Trivela",83.0,62.0,61.0,80.0,41.0,64.0,57,64,54,69,57,79,64,44,47,86,85,81,81,69,72,65,74,71,69,56,38,24,70,66,61,72.0,45,48,25,8,10,12,6,12,,69+2,69+2,69+2,73,73,73,73,73,72+2,72+2,72+2,72+2,65+2,65+2,65+2,72+2,57+2,54+2,54+2,54+2,57+2,55+2,49+2,49+2,49+2,55+2,16+2
255862,/player/255862/santiago-rodriguez/240002,24.0,2.0,2023-09-22,S. Rodríguez,Santiago Mariano Rodríguez Molina,"CAM, LM, CF",72,81,5000000.0,6000.0,23,2000-01-08,172,62,112828.0,New York City,39.0,Major League Soccer,1.0,LM,10.0,,2023-03-03,2027.0,60,Uruguay,,,,Right,3,4,1,High/Low,Lean (170-185),No,8500000.0,,"Tiki Taka, Technical, Flair, First Touch",77.0,65.0,68.0,74.0,38.0,52.0,66,70,36,72,51,74,57,53,64,73,81,73,87,70,69,62,53,76,45,61,41,42,71,72,56,70.0,34,42,31,11,8,6,10,12,,65+2,65+2,65+2,72,71,71,71,72,72+2,72+2,72+2,72+2,68+2,68+2,68+2,72+2,59+2,56+2,56+2,56+2,59+2,55+2,45+2,45+2,45+2,55+2,17+2
242214,/player/242214/james-sands/240002,24.0,2.0,2023-09-22,J. Sands,James Hoban Sands,"CDM, CM, CB",72,80,5000000.0,5000.0,22,2000-07-06,186,73,112828.0,New York City,39.0,Major League Soccer,1.0,SUB,6.0,,2017-07-01,2027.0,95,United States,,,,Right,3,2,1,Medium/High,Normal (185+),No,8500000.0,,"Long Ball Pass, Anticipate, Slide Tackle, Aerial",51.0,50.0,62.0,66.0,70.0,72.0,46,55,67,73,38,65,38,40,69,71,48,54,58,72,66,53,74,74,70,40,74,71,49,65,37,60.0,68,72,68,10,7,7,12,5,,59+2,59+2,59+2,60,61,61,61,60,63+2,63+2,63+2,62+2,67+2,67+2,67+2,62+2,66+2,71+2,71+2,71+2,66+2,66+2,70+2,70+2,70+2,66+2,15+2
241783,/player/241783/keaton-parks/240002,24.0,2.0,2023-09-22,K. Parks,Keaton Alexander Parks,"CDM, CM",72,77,3100000.0,6000.0,25,1997-08-06,191,81,112828.0,New York City,39.0,Major League Soccer,1.0,RDM,55.0,,2020-01-08,2026.0,95,United States,,,,Right,3,3,1,Medium/High,Normal (185+),No,4900000.0,,,35.0,62.0,68.0,68.0,68.0,73.0,60,63,67,76,41,69,47,52,71,73,38,32,58,69,40,68,65,72,74,59,73,66,69,67,54,74.0,67,70,67,7,8,11,7,12,,65+2,65+2,65+2,64,66,66,66,64,67+2,67+2,67+2,65+2,70+2,70+2,70+2,65+2,65+2,71+2,71+2,71+2,65+2,64+2,69+2,69+2,69+2,64+2,15+2
231247,/player/231247/braian-cufre/240002,24.0,2.0,2023-09-22,B. Cufré,Braian Ezequiel Cufré,"LB, LM, LWB",72,74,2700000.0,17000.0,26,1996-12-15,178,79,112828.0,New York City,39.0,Major League Soccer,1.0,LB,3.0,Mallorca,,2023.0,52,Argentina,,,,Left,3,3,1,High/Medium,Normal (170-185),No,,,Slide Tackle,78.0,64.0,68.0,67.0,68.0,74.0,69,58,58,67,59,67,80,66,66,66,76,79,79,65,61,80,73,89,69,65,70,68,59,66,55,58.0,72,70,63,6,7,12,13,6,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,71+2,69+2,69+2,69+2,71+2,70+2,68+2,68+2,68+2,70+2,14+2
233790,/player/233790/thiago-martins-bueno/240002,24.0,2.0,2023-09-22,Thiago Martins,Thiago Martins Bueno,CB,71,73,1900000.0,6000.0,28,1995-03-17,184,75,112828.0,New York City,39.0,Major League Soccer,1.0,RCB,13.0,,2022-02-07,2025.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,3000000.0,,"Jockey, Block",73.0,41.0,56.0,58.0,71.0,74.0,40,36,75,72,26,54,37,43,67,68,64,80,44,65,53,65,81,72,76,30,68,69,32,46,55,60.0,70,71,69,11,14,7,14,6,,56+2,56+2,56+2,54,55,55,55,54,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,66+2,69+2,69+2,69+2,66+2,68+2,71+2,71+2,71+2,68+2,17+2
202107,/player/202107/alfredo-morales/240002,24.0,2.0,2023-09-22,A. Morales,Alfredo Morales,"CDM, CM, CB",70,70,800000.0,5000.0,33,1990-05-12,183,77,112828.0,New York City,39.0,Major League Soccer,1.0,SUB,7.0,,2021-04-07,2023.0,95,United States,,,,Right,3,3,1,Medium/High,Normal (170-185),Yes,1200000.0,,,54.0,58.0,67.0,66.0,66.0,78.0,61,53,55,71,49,64,64,53,68,68,62,48,68,65,71,67,71,81,76,63,81,66,60,67,45,67.0,68,66,67,9,13,13,16,12,,61+2,61+2,61+2,63,63,63,63,63,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,66+2,69+1,69+1,69+1,66+2,66+2,67+2,67+2,67+2,66+2,18+2
267866,/player/267866/julian-fernandez/240002,24.0,2.0,2023-09-22,J. Fernández,Julián Fernández,"RM, RW",68,80,2900000.0,2000.0,19,2004-01-30,183,73,112828.0,New York City,39.0,Major League Soccer,1.0,SUB,11.0,,2023-08-01,2027.0,52,Argentina,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,4900000.0,,Technical,77.0,63.0,62.0,73.0,38.0,52.0,62,62,38,64,59,74,56,49,63,71,75,78,79,62,85,72,53,55,53,61,47,32,63,62,49,55.0,35,41,45,6,9,7,10,11,,63+2,63+2,63+2,68,67,67,67,68,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,55+2,52+2,52+2,52+2,55+2,53+2,45+2,45+2,45+2,53+2,15+2
256098,/player/256098/richard-ledezma/240002,24.0,2.0,2023-09-22,R. Ledezma,Richard Ledezma,"CAM, CM",68,77,2700000.0,6000.0,22,2000-09-06,174,64,112828.0,New York City,39.0,Major League Soccer,1.0,SUB,20.0,PSV,,2023.0,95,United States,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,,,"Finesse Shot, Whipped Cross, Technical",68.0,61.0,67.0,72.0,47.0,47.0,60,61,40,69,55,72,64,60,67,70,75,62,84,60,77,62,46,60,41,60,44,52,61,72,58,62.0,42,51,46,15,14,11,11,5,,60+2,60+2,60+2,67,66,66,66,67,68+2,68+2,68+2,67+2,65+2,65+2,65+2,67+2,58+2,57+2,57+2,57+2,58+2,56+2,49+2,49+2,49+2,56+2,17+2
