player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
221908,/player/221908/lewis-morgan/240002,24.0,2.0,2023-09-22,L. Morgan,Lewis Morgan,"LM, CAM, CF",74,75,5000000.0,8000.0,26,1996-09-30,178,75,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,10.0,,2022-01-01,2025.0,42,Scotland,,,,Left,5,3,1,High/High,Normal (170-185),No,7600000.0,,"Finesse Shot, Pinged Pass, Whipped Cross, Rapid, Trivela",84.0,72.0,69.0,74.0,63.0,67.0,76,75,48,67,64,73,75,72,60,75,82,85,81,70,75,73,76,80,62,66,60,50,71,68,73,70.0,75,66,60,14,6,8,7,13,,70+2,70+2,70+2,74,72,72,72,74,71+2,71+2,71+2,73+2,68+2,68+2,68+2,73+2,70+2,65+2,65+2,65+2,70+2,68+2,63+2,63+2,63+2,68+2,17+2
234905,/player/234905/dante-vanzeir/240002,24.0,2.0,2023-09-22,D. Vanzeir,Dante Vanzeir,ST,73,78,4500000.0,8000.0,25,1998-04-16,175,77,689.0,New York RB,39.0,Major League Soccer,1.0,LS,13.0,,2023-02-03,2027.0,7,Belgium,,,,Right,4,3,1,High/Medium,Stocky (170-185),No,6900000.0,,"Tiki Taka, Rapid",85.0,73.0,67.0,73.0,36.0,72.0,69,74,66,66,74,71,71,59,58,73,88,82,76,72,79,75,82,79,70,71,66,38,74,74,66,74.0,39,24,31,7,7,11,14,5,,73+2,73+2,73+2,73,73,73,73,73,72+2,72+2,72+2,73+2,66+2,66+2,66+2,73+2,58+2,54+2,54+2,54+2,58+2,55+2,50+2,50+2,50+2,55+2,15+2
242084,/player/242084/carlos-miguel-coronel/240002,24.0,2.0,2023-09-22,Carlos Coronel,Carlos Miguel Coronel,GK,72,76,2500000.0,5000.0,26,1996-12-29,192,88,689.0,New York RB,39.0,Major League Soccer,1.0,GK,1.0,,2022-01-01,2024.0,54,Brazil,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3800000.0,,Footwork,,,,,,,16,10,15,47,12,17,17,13,60,29,39,39,39,70,47,55,66,41,72,9,35,21,10,56,12,50.0,20,15,16,71,70,73,71,73,39.0,30+2,30+2,30+2,29,31,31,31,29,35+2,35+2,35+2,33+2,39+2,39+2,39+2,33+2,30+2,37+2,37+2,37+2,30+2,29+2,31+2,31+2,31+2,29+2,71+2
244186,/player/244186/lucas-lima-linhares/240002,24.0,2.0,2023-09-22,Luquinhas,Lucas Lima Linhares,"RM, CF, LM",72,73,2800000.0,7000.0,26,1996-09-28,170,60,689.0,New York RB,39.0,Major League Soccer,1.0,LM,82.0,,2022-02-16,2024.0,54,Brazil,,,,Right,4,4,1,High/Medium,Normal (170-),No,4300000.0,#Acrobat,"Finesse Shot, Pinged Pass, Technical, Flair, Trivela",82.0,65.0,65.0,77.0,35.0,58.0,59,64,49,68,65,75,70,62,57,73,83,81,90,73,92,70,66,75,56,64,40,38,74,69,51,75.0,28,35,31,6,12,8,12,13,,68+2,68+2,68+2,72,72,72,72,72,71+2,71+2,71+2,71+2,66+2,66+2,66+2,71+2,57+2,53+2,53+2,53+2,57+2,54+2,45+2,45+2,45+2,54+2,17+2
251834,/player/251834/john-tolkin/240002,24.0,2.0,2023-09-22,J. Tolkin,John Tolkin,"LB, LWB, CDM",71,81,3900000.0,4000.0,20,2002-07-31,170,61,689.0,New York RB,39.0,Major League Soccer,1.0,LB,47.0,,2020-01-14,2027.0,95,United States,,,,Left,3,3,1,High/High,Normal (170-),No,6400000.0,,"Slide Tackle, Flair, Long Throw",81.0,46.0,63.0,64.0,66.0,68.0,66,42,51,68,44,63,59,62,62,60,81,81,77,64,75,53,70,83,61,49,67,69,58,55,40,52.0,67,69,66,12,10,6,8,14,,57+2,57+2,57+2,63,60,60,60,63,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,69+2,66+2,66+2,66+2,69+2,69+2,65+2,65+2,65+2,69+2,17+2
247459,/player/247459/sean-nealis/240002,24.0,2.0,2023-09-22,S. Nealis,Sean Nealis,CB,70,74,2000000.0,5000.0,26,1997-01-13,194,79,689.0,New York RB,39.0,Major League Soccer,1.0,LCB,15.0,,2019-02-17,2026.0,95,United States,,,,Right,3,2,1,Low/High,Stocky (185+),No,3100000.0,,Power Header,69.0,32.0,39.0,49.0,68.0,84.0,25,32,74,53,26,45,25,25,41,50,60,76,56,64,45,42,84,84,87,22,75,64,32,35,34,50.0,67,72,65,12,14,15,7,12,,49+2,49+2,49+2,45,46,46,46,45,45+2,45+2,45+2,48+2,49+2,49+2,49+2,48+2,60+2,62+2,62+2,62+2,60+2,63+2,70+2,70+2,70+2,63+2,17+2
246048,/player/246048/andres-reyes/240002,24.0,2.0,2023-09-22,A. Reyes,Andrés Felipe Reyes Ambuila,CB,69,76,2600000.0,3000.0,23,1999-09-08,191,81,689.0,New York RB,39.0,Major League Soccer,1.0,RCB,4.0,,2021-02-10,2024.0,56,Colombia,,,,Right,3,2,1,Medium/High,Normal (185+),No,4300000.0,,"Power Header, Slide Tackle",74.0,33.0,40.0,47.0,69.0,80.0,29,29,66,56,29,38,31,29,39,46,70,78,68,69,70,44,80,76,83,34,77,67,30,29,36,55.0,70,71,65,12,5,9,15,8,,48+2,48+2,48+2,45,45,45,45,45,45+2,45+2,45+2,47+2,48+2,48+2,48+2,47+2,61+2,62+2,62+2,62+2,61+2,64+2,69+2,69+2,69+2,64+2,16+2
247582,/player/247582/frankie-amaya/240002,24.0,2.0,2023-09-22,F. Amaya,Frankie Amaya,"CM, CDM, CAM",68,77,2700000.0,3000.0,22,2000-09-26,163,64,689.0,New York RB,39.0,Major League Soccer,1.0,LDM,8.0,,2021-04-20,2024.0,95,United States,,,,Right,4,2,1,High/High,Normal (170-),No,4500000.0,,Incisive Pass,72.0,53.0,65.0,70.0,64.0,66.0,55,48,38,70,46,67,62,48,66,71,73,71,80,67,80,68,55,80,55,53,80,63,60,68,45,61.0,67,72,61,13,7,15,14,11,,59+2,59+2,59+2,65,64,64,64,65,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,67+2,68+2,68+2,68+2,67+2,66+2,64+2,64+2,64+2,66+2,18+2
236038,/player/236038/kyle-duncan/240002,24.0,2.0,2023-09-22,K. Duncan,Kyle Duncan,"RB, RWB",68,71,1500000.0,3000.0,25,1997-08-08,177,68,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,6.0,,2022-01-01,2025.0,95,United States,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2300000.0,,Rapid,89.0,44.0,53.0,67.0,63.0,71.0,66,43,63,55,33,68,56,31,53,66,90,89,81,52,75,52,81,79,66,41,70,63,54,40,37,52.0,60,66,62,15,14,9,13,5,,58+2,58+2,58+2,62,58,58,58,62,58+2,58+2,58+2,63+2,57+2,57+2,57+2,63+2,66+2,61+2,61+2,61+2,66+2,66+2,64+2,64+2,64+2,66+2,16+2
241984,/player/241984/cory-burke/240002,24.0,2.0,2023-09-22,C. Burke,Cory Burke,ST,67,67,850000.0,3000.0,31,1991-12-28,191,82,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,7.0,,2023-01-01,2024.0,82,Jamaica,,,,Right,3,2,1,Medium/High,Normal (185+),No,1200000.0,,,76.0,65.0,40.0,61.0,34.0,75.0,25,66,70,53,62,64,48,41,31,66,71,80,46,62,37,69,84,60,85,58,66,20,63,37,65,60.0,30,39,24,10,8,9,11,8,,67,67,67,59,62,62,62,59,57+2,57+2,57+2,57+2,51+2,51+2,51+2,57+2,45+2,45+2,45+2,45+2,45+2,45+2,48+2,48+2,48+2,45+2,15+2
269617,/player/269617/juan-jose-mina/240002,24.0,2.0,2023-09-22,J. Mina,Juan José Mina González,RB,66,80,1900000.0,700.0,18,2004-07-27,179,78,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,25.0,,2023-08-01,2026.0,56,Colombia,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,3900000.0,,,77.0,40.0,52.0,57.0,61.0,66.0,64,41,57,58,35,55,44,37,50,54,75,79,72,63,66,38,70,83,63,36,52,60,46,35,44,48.0,64,61,58,14,8,9,8,7,,52+2,52+2,52+2,56,52,52,52,56,52+2,52+2,52+2,58+2,53+2,53+2,53+2,58+2,64+2,59+2,59+2,59+2,64+2,64+2,60+2,60+2,60+2,64+2,15+2
240611,/player/240611/dru-yearwood/240002,24.0,2.0,2023-09-22,D. Yearwood,Dru Yearwood,"CM, CDM",66,72,1300000.0,2000.0,23,2000-02-17,173,68,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,16.0,,2020-08-12,2023.0,14,England,,,,Right,3,3,1,High/High,Normal (170-185),No,2100000.0,,Flair,77.0,54.0,58.0,70.0,65.0,76.0,46,48,60,65,42,69,52,43,66,68,76,77,76,67,82,62,78,83,71,62,80,66,61,58,48,63.0,65,65,65,11,13,10,14,8,,62+2,62+2,62+2,64,64,64,64,64,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,66+2,67+2,67+2,67+2,66+2,66+2,67+2,67+2,67+2,66+2,18+2
256426,/player/256426/cameron-harper/240002,24.0,2.0,2023-09-22,C. Harper,Cameron Harper,"RM, RB, LM",65,74,1600000.0,2000.0,21,2001-11-19,176,71,689.0,New York RB,39.0,Major League Soccer,1.0,RB,17.0,,2021-03-05,2023.0,95,United States,,,,Right,3,3,1,High/Low,Normal (170-185),No,2600000.0,,"Technical, Flair",86.0,57.0,52.0,69.0,49.0,56.0,58,61,43,55,43,69,56,48,44,68,85,86,71,67,83,58,58,69,51,50,50,36,59,46,57,57.0,49,59,53,6,10,6,15,14,,61+2,61+2,61+2,65,63,63,63,65,61+2,61+2,61+2,64+2,56+2,56+2,56+2,64+2,60+2,53+2,53+2,53+2,60+2,59+2,52+2,52+2,52+2,59+2,17+2
247084,/player/247084/omir-fernandez/240002,24.0,2.0,2023-09-22,O. Fernandez,Omir Guadalupe Fernandez Mosso,"CAM, ST, LM",64,69,875000.0,2000.0,24,1999-02-08,170,64,689.0,New York RB,39.0,Major League Soccer,1.0,RM,21.0,,2019-01-26,2023.0,95,United States,,,,Right,3,3,1,High/Medium,Normal (170-),No,1300000.0,,"Technical, Flair",80.0,53.0,58.0,70.0,44.0,56.0,57,56,50,66,40,72,53,42,50,68,81,80,70,63,79,58,67,54,58,45,49,44,65,58,46,57.0,38,48,41,14,15,12,7,10,,62+2,62+2,62+2,66,65,65,65,66,64+2,64+2,64+2,65+2,60+2,60+2,60+2,65+2,57+2,53+2,53+2,53+2,57+2,55+2,50+2,50+2,50+2,55+2,17+2
207610,/player/207610/ryan-meara/240002,24.0,2.0,2023-09-22,R. Meara,Ryan Meara,GK,64,64,300000.0,2000.0,32,1990-11-15,193,84,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,18.0,,2012-02-06,2027.0,95,United States,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,435000.0,,"Far Throw, Footwork",,,,,,,13,15,19,23,13,16,18,15,33,16,47,45,39,60,23,46,58,41,54,17,31,19,10,13,21,47.0,24,12,17,63,62,61,65,66,46.0,27+2,27+2,27+2,23,24,24,24,23,23+2,23+2,23+2,25+2,24+2,24+2,24+2,25+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,63+1
272770,/player/272770/jorge-cabezas/240002,24.0,2.0,2023-09-22,J. Cabezas,Jorge Leguín Cabezas Hurtado,ST,63,79,1300000.0,5000.0,19,2003-09-06,185,70,689.0,New York RB,39.0,Major League Soccer,1.0,SUB,9.0,Watford,,2023.0,56,Colombia,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,,,,79.0,62.0,45.0,60.0,28.0,66.0,38,64,60,47,53,55,39,34,38,60,78,80,80,67,70,62,75,75,66,59,50,33,66,59,62,52.0,20,23,20,12,12,12,10,12,,63+2,63+2,63+2,60,62,62,62,60,59+2,59+2,59+2,59+2,53+2,53+2,53+2,59+2,46+2,43+2,43+2,43+2,46+2,45+2,41+2,41+2,41+2,45+2,18+2
266033,/player/266033/daniel-edelman/240002,24.0,2.0,2023-09-22,D. Edelman,Daniel Edelman,"CDM, CM",63,77,1100000.0,1000.0,20,2003-04-28,178,64,689.0,New York RB,39.0,Major League Soccer,1.0,RDM,75.0,,2021-12-17,2023.0,95,United States,,,,Right,4,3,1,Medium/High,Lean (170-185),No,2300000.0,,Slide Tackle,70.0,39.0,55.0,56.0,64.0,64.0,42,38,68,63,36,50,43,41,55,58,67,72,71,59,67,45,67,69,57,34,74,64,46,60,38,63.0,62,64,63,10,10,7,10,5,,52+2,52+2,52+2,54,54,54,54,54,55+2,55+2,55+2,56+2,57+2,57+2,57+2,56+2,61+2,62+2,62+2,62+2,61+2,62+2,64+2,64+2,64+2,62+2,14+2
