player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
217998,/player/217998/cristian-arango/240002,24.0,2.0,2023-09-22,C. Arango,Cristian Daniel Arango Duque,"ST, CAM",76,76,7500000.0,10000.0,28,1995-03-09,178,78,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,RS,9.0,,2023-07-05,2025.0,56,Colombia,,,,Right,3,3,1,High/Medium,Normal (170-185),No,11300000.0,,Technical,75.0,75.0,64.0,76.0,35.0,74.0,50,77,71,69,61,76,73,69,60,78,77,74,74,78,66,76,85,74,76,73,64,23,78,71,70,76.0,44,28,16,6,14,9,6,13,,76,76,76,73,76,76,76,73,74+2,74+2,74+2,72+2,67+2,67+2,67+2,72+2,53+2,54+2,54+2,54+2,53+2,50+2,49+2,49+2,49+2,50+2,17+2
238555,/player/238555/jefferson-savarino/240002,24.0,2.0,2023-09-22,J. Savarino,Jefferson David Savarino Quintero,"LM, RM",74,75,5000000.0,8000.0,26,1996-11-11,169,66,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,RM,10.0,,2022-05-04,2025.0,61,Venezuela,,,,Right,4,4,1,High/Medium,Normal (170-),No,7900000.0,#Acrobat,"Tiki Taka, Technical, Flair, Acrobatic",82.0,71.0,67.0,78.0,37.0,64.0,68,70,43,70,69,78,72,53,58,76,85,80,90,70,81,78,63,81,58,68,59,30,67,70,60,72.0,36,42,30,7,13,6,15,12,,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,59+2,55+2,55+2,55+2,59+2,55+2,47+2,47+2,47+2,55+2,18+2
215886,/player/215886/damir-kreilach/240002,24.0,2.0,2023-09-22,D. Kreilach,Damir Kreilach,"ST, CAM",72,72,1100000.0,7000.0,34,1989-04-16,186,78,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,LS,8.0,,2018-02-08,2023.0,10,Croatia,,,,Right,3,3,1,High/Medium,Normal (185+),No,1700000.0,,Power Header,42.0,73.0,70.0,72.0,64.0,80.0,56,73,80,76,70,72,70,74,74,74,47,37,63,79,62,76,90,71,85,74,74,59,72,71,64,73.0,67,63,55,14,8,8,9,13,,72,72,72,68,71,71,71,68,71+1,71+1,71+1,68+2,73-1,73-1,73-1,68+2,64+2,70+2,70+2,70+2,64+2,63+2,69+2,69+2,69+2,63+2,18+2
264433,/player/264433/nelson-palacio/240002,24.0,2.0,2023-09-22,N. Palacio,Nelson Palacio Ruiz,"CM, CDM",71,81,4200000.0,5000.0,22,2001-06-16,178,75,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,LCM,13.0,,2023-07-05,2026.0,56,Colombia,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,7100000.0,,,71.0,61.0,65.0,68.0,65.0,71.0,53,64,53,72,45,63,44,53,66,74,70,71,73,74,74,60,66,87,67,63,63,70,65,70,49,54.0,63,70,62,12,10,6,5,12,,65+2,65+2,65+2,67,68,68,68,67,69+2,69+2,69+2,68+2,71+2,71+2,71+2,68+2,69+2,70+2,70+2,70+2,69+2,68+2,66+2,66+2,66+2,68+2,17+2
248870,/player/248870/braian-ojeda/240002,24.0,2.0,2023-09-22,B. Ojeda,Braian Óscar Ojeda Rodríguez,"CDM, CM",70,80,3300000.0,4000.0,23,2000-06-27,172,68,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,RCM,6.0,,2023-08-01,2025.0,58,Paraguay,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,5600000.0,,,67.0,54.0,64.0,69.0,66.0,68.0,55,47,59,71,45,67,43,39,69,71,72,63,75,65,79,69,67,77,59,57,81,65,60,68,41,61.0,66,69,67,7,6,9,9,14,,61+2,61+2,61+2,64,64,64,64,64,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,67+2,15+2
240448,/player/240448/pablo-ruiz/240002,24.0,2.0,2023-09-22,P. Ruiz,Pablo Enrique Ruíz,"CDM, CM",70,76,2300000.0,4000.0,24,1998-12-20,172,68,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,SUB,7.0,,2018-02-08,2025.0,52,Argentina,,,,Left,2,2,1,High/High,Lean (170-185),No,3900000.0,,,66.0,59.0,66.0,67.0,68.0,63.0,62,56,39,71,38,64,71,64,62,68,65,67,78,68,74,64,52,78,56,69,64,69,58,63,55,63.0,70,74,73,8,5,11,14,11,,60+2,60+2,60+2,65,64,64,64,65,65+2,65+2,65+2,65+2,67+2,67+2,67+2,65+2,70+2,69+2,69+2,69+2,70+2,69+2,65+2,65+2,65+2,69+2,16+2
266674,/player/266674/carlos-andres-gomez/240002,24.0,2.0,2023-09-22,C. Gómez,Carlos Andrés Gómez,RM,69,81,3400000.0,3000.0,20,2002-09-22,175,73,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,SUB,11.0,,2023-01-31,2027.0,56,Colombia,,,,Right,3,3,1,High/Medium,Lean (170-185),No,5800000.0,,,78.0,66.0,62.0,70.0,32.0,54.0,59,71,48,64,51,73,60,55,56,69,79,78,74,72,65,62,61,65,52,64,44,35,66,68,58,50.0,33,26,25,8,5,11,14,12,,66+2,66+2,66+2,70,69,69,69,70,69+2,69+2,69+2,68+2,62+2,62+2,62+2,68+2,53+2,50+2,50+2,50+2,53+2,50+2,42+2,42+2,42+2,50+2,17+2
222557,/player/222557/justen-glad/240002,24.0,2.0,2023-09-22,J. Glad,Justen Glad,CB,69,72,1600000.0,4000.0,26,1997-02-28,185,72,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,RCB,15.0,,2014-04-07,2028.0,95,United States,,,,Right,2,2,1,Low/High,Lean (185+),No,2500000.0,,"Intercept, Aerial",69.0,35.0,50.0,50.0,69.0,74.0,27,30,68,68,29,41,23,21,66,56,68,69,49,64,65,45,75,76,73,35,72,73,40,42,38,66.0,68,70,66,10,16,10,10,6,,50+2,50+2,50+2,48,50,50,50,48,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,62+2,67+2,67+2,67+2,62+2,64+2,69+2,69+2,69+2,64+2,16+2
233656,/player/233656/andrew-brody/240002,24.0,2.0,2023-09-22,A. Brody,Andrew Brody,"LB, RB",68,68,1100000.0,4000.0,28,1995-05-03,178,61,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,SUB,2.0,,2021-01-01,2024.0,95,United States,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1700000.0,,,73.0,40.0,55.0,65.0,63.0,69.0,64,33,54,59,33,67,51,25,58,64,72,74,69,60,66,47,67,87,65,41,55,63,66,46,48,55.0,65,64,64,15,7,13,11,10,,55+2,55+2,55+2,60,58,58,58,60,58+2,58+2,58+2,63+2,60+2,60+2,60+2,63+2,66+2,63+2,63+2,63+2,66+2,66+2,62+2,62+2,62+2,66+2,16+2
254067,/player/254067/anderson-julio/240002,24.0,2.0,2023-09-22,A. Julio,Anderson Andrés Julio Santos,"ST, LM, RM",68,68,1300000.0,4000.0,27,1996-05-31,172,70,111065.0,Real Salt Lake,39.0,Major League Soccer,1.0,SUB,29.0,,2022-04-28,2024.0,57,Ecuador,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,,82.0,66.0,61.0,69.0,33.0,61.0,61,69,60,66,57,69,61,54,50,67,82,82,70,64,78,71,76,73,63,60,36,45,68,63,55,66.0,23,27,31,7,6,11,15,9,,68,68,68,68,68,68,68,68,67+1,67+1,67+1,68,61+2,61+2,61+2,68,55+2,50+2,50+2,50+2,55+2,53+2,45+2,45+2,45+2,53+2,15+2
