player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
189117,/player/189117/roman-burki/240002,24.0,2.0,2023-09-22,R. Bürki,Roman Bürki,GK,76,76,3700000.0,7000.0,32,1990-11-14,187,85,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,GK,1.0,,2022-07-01,2025.0,47,Switzerland,,,,Right,2,1,3,Medium/Medium,Normal (185+),Yes,5400000.0,,,,,,,,,15,8,17,37,13,12,13,12,24,23,44,50,49,73,52,45,71,40,76,14,35,18,10,50,20,64.0,11,13,16,80,72,60,71,81,46.0,29+3,29+3,29+3,28,29,29,29,28,31+3,31+3,31+3,30+3,31+3,31+3,31+3,30+3,28+3,30+3,30+3,30+3,28+3,28+3,29+3,29+3,29+3,28+3,75+1
238072,/player/238072/eduard-lowen/240002,24.0,2.0,2023-09-22,E. Löwen,Eduard Löwen,"CM, CAM, CDM",75,78,7500000.0,9000.0,26,1997-01-28,188,91,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,CAM,10.0,,2022-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/High,Stocky (185+),No,11400000.0,,"Intercept, Slide Tackle, Aerial",66.0,70.0,74.0,72.0,71.0,83.0,70,64,70,76,50,75,72,78,73,75,60,70,46,76,67,85,77,88,81,75,82,69,69,73,70,71.0,71,74,66,5,10,5,12,13,,72+2,72+2,72+2,71,72,72,72,71,72+2,72+2,72+2,73+2,75+2,75+2,75+2,73+2,73+2,75+2,75+2,75+2,73+2,72+2,73+2,73+2,73+2,72+2,17+2
242998,/player/242998/joao-klauss-de-mello/240002,24.0,2.0,2023-09-22,Klauss,João Klauss de Mello,ST,74,77,5500000.0,9000.0,26,1997-03-01,190,84,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,ST,9.0,,2022-07-01,2025.0,54,Brazil,,,,Right,3,3,1,High/High,Normal (185+),No,8400000.0,#Strength,"Press Proven, Aerial",64.0,74.0,62.0,66.0,36.0,85.0,58,75,78,67,67,66,46,57,61,71,57,70,57,73,43,78,86,83,89,70,77,33,76,65,75,73.0,39,26,22,11,5,7,7,13,,74+2,74+2,74+2,68,70,70,70,68,68+2,68+2,68+2,68+2,65+2,65+2,65+2,68+2,54+2,55+2,55+2,55+2,54+2,51+2,52+2,52+2,52+2,51+2,16+2
210802,/player/210802/joakim-nilsson/240002,24.0,2.0,2023-09-22,J. Nilsson,Jörgen Joakim Nilsson,CB,72,72,2000000.0,6000.0,29,1994-02-06,185,78,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,LCB,4.0,,2022-07-01,2026.0,46,Sweden,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,2900000.0,,,59.0,32.0,54.0,54.0,73.0,71.0,40,31,73,67,23,43,28,26,65,63,53,63,62,68,59,45,84,59,76,24,71,71,31,49,28,69.0,74,74,66,10,8,15,12,12,,50+2,50+2,50+2,49,49,49,49,49,52+2,52+2,52+2,52+2,58+2,58+2,58+2,52+2,62+2,68+2,68+2,68+2,62+2,65+2,72,72,72,65+2,17+2
254019,/player/254019/nicholas-gioacchini/240002,24.0,2.0,2023-09-22,N. Gioacchini,Nicholas Gioacchini,"ST, RM",69,75,2300000.0,4000.0,22,2000-07-25,183,79,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,SUB,11.0,,2023-01-01,2023.0,95,United States,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3800000.0,,Flair,79.0,69.0,57.0,67.0,29.0,70.0,57,70,63,61,59,69,52,47,48,69,75,82,62,64,62,68,77,69,72,68,64,26,71,59,66,63.0,27,24,17,14,7,10,9,9,,69+2,69+2,69+2,67,68,68,68,67,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,50+2,47+2,47+2,47+2,50+2,47+2,44+2,44+2,44+2,47+2,16+2
226803,/player/226803/tim-parker/240002,24.0,2.0,2023-09-22,T. Parker,Tim Parker,CB,69,69,1100000.0,4000.0,30,1993-02-23,188,88,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,RCB,26.0,,2023-01-01,2023.0,95,United States,,,,Right,3,2,1,Medium/High,Stocky (185+),Yes,1600000.0,#Strength,Long Ball Pass,68.0,31.0,44.0,51.0,66.0,80.0,26,35,72,59,28,43,21,26,57,61,65,71,49,68,47,33,85,72,86,21,76,65,28,35,37,60.0,66,65,63,6,13,14,9,9,,50+2,50+2,50+2,47,48,48,48,47,48+2,48+2,48+2,50+2,53+2,53+2,53+2,50+2,60+2,64+2,64+2,64+2,60+2,62+2,69,69,69,62+2,16+2
254905,/player/254905/indiana-vassilev/240002,24.0,2.0,2023-09-22,I. Vassilev,Indiana Denchev Vassilev,"CDM, CM, RM",68,76,2600000.0,3000.0,22,2001-02-16,175,65,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,LDM,19.0,,2023-01-17,2024.0,95,United States,,,,Left,3,3,1,High/High,Normal (170-185),No,4300000.0,,,73.0,61.0,64.0,69.0,64.0,66.0,62,62,55,70,54,68,56,50,62,68,74,73,72,70,78,64,67,80,59,55,66,63,60,64,64,60.0,64,69,61,11,8,9,14,14,,64+2,64+2,64+2,67,66,66,66,67,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,68+2,67+2,67+2,67+2,68+2,67+2,64+2,64+2,64+2,67+2,18+2
247734,/player/247734/njabulo-blom/240002,24.0,2.0,2023-09-22,N. Blom,Njabulo Blom,"CDM, CM",68,74,1800000.0,3000.0,23,1999-12-11,173,67,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,RDM,6.0,,2023-01-01,2024.0,140,South Africa,,,,Right,3,2,1,Low/High,Normal (170-185),No,3000000.0,,,77.0,28.0,57.0,65.0,70.0,64.0,50,22,62,73,21,64,32,35,69,65,78,76,72,55,69,45,75,73,63,22,51,69,34,39,41,65.0,72,72,68,10,11,14,11,6,,49+2,49+2,49+2,55,52,52,52,55,55+2,55+2,55+2,59+2,59+2,59+2,59+2,59+2,67+2,67+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,15+2
266805,/player/266805/lucas-bartlett/240002,24.0,2.0,2023-09-22,L. Bartlett,Lucas Bartlett,CB,68,71,1400000.0,3000.0,25,1997-07-26,191,90,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,SUB,24.0,,2023-03-08,2023.0,95,United States,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,2100000.0,,"Intercept, Aerial",52.0,26.0,38.0,42.0,67.0,78.0,20,22,69,54,24,35,29,22,39,50,53,52,37,70,35,39,85,66,85,21,74,62,21,31,33,49.0,70,70,61,8,15,11,11,8,,43+2,43+2,43+2,39,41,41,41,39,41+2,41+2,41+2,42+2,46+2,46+2,46+2,42+2,55+2,60+2,60+2,60+2,55+2,58+2,68+2,68+2,68+2,58+2,17+2
242092,/player/242092/rasmus-alm/240002,24.0,2.0,2023-09-22,R. Alm,Rasmus Alm,"RM, RW, LW",68,68,1300000.0,4000.0,27,1995-08-17,174,70,113018.0,Saint Louis City,39.0,Major League Soccer,1.0,RM,21.0,,2023-01-01,2025.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1900000.0,,Rapid,83.0,62.0,62.0,69.0,38.0,62.0,64,64,36,64,52,68,65,40,62,68,84,83,79,60,81,64,62,73,60,59,54,37,62,62,53,62.0,40,37,36,15,12,13,6,7,,62+2,62+2,62+2,67,66,66,66,67,66+2,66+2,66+2,67+1,62+2,62+2,62+2,67+1,57+2,53+2,53+2,53+2,57+2,54+2,46+2,46+2,46+2,54+2,16+2
