player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
185068,/player/185068/johnny-russell/240002,24.0,2.0,2023-09-22,J. Russell,Johnny Russell,"RW, RM",72,72,1500000.0,7000.0,33,1990-04-08,178,76,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RW,7.0,,2018-02-07,2023.0,42,Scotland,,,,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,2300000.0,,"Finesse Shot, Dead Ball, Pinged Pass, Whipped Cross, First Touch, Press Proven",74.0,72.0,70.0,74.0,50.0,77.0,70,71,68,68,62,74,79,75,64,73,75,74,77,69,76,77,81,77,76,71,79,50,71,73,69,70.0,42,56,38,12,16,8,12,7,,72,72,72,72,72,72,72,72,72,72,72,72,69+2,69+2,69+2,72,62+2,62+2,62+2,62+2,62+2,60+2,59+2,59+2,59+2,60+2,18+2
192930,/player/192930/alan-pulido/240002,24.0,2.0,2023-09-22,A. Pulido,Alan Pulido Izaguirre,ST,72,72,1900000.0,7000.0,32,1991-03-08,177,83,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,ST,9.0,,2020-01-01,2023.0,83,Mexico,,,,Right,3,3,2,High/High,Normal (170-185),No,2900000.0,,"Chip Shot, Press Proven, Trivela",73.0,72.0,65.0,72.0,37.0,70.0,61,74,70,71,66,74,66,58,60,72,71,74,73,71,64,72,80,65,76,70,60,37,73,66,72,70.0,34,35,22,15,10,9,14,9,,72,72,72,71,72,72,72,71,71+1,71+1,71+1,70+2,66+2,66+2,66+2,70+2,55+2,54+2,54+2,54+2,55+2,52+2,50+2,50+2,50+2,52+2,18+2
225028,/player/225028/nemanja-radoja/240002,24.0,2.0,2023-09-22,N. Radoja,Nemanja Radoja,"CM, CDM",72,72,2200000.0,7000.0,30,1993-02-06,186,77,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,6.0,,2023-01-01,2025.0,51,Serbia,,,,Right,4,3,1,Medium/Medium,Normal (185+),Yes,3300000.0,,,50.0,61.0,70.0,70.0,70.0,73.0,57,58,51,79,61,70,62,48,76,74,52,49,59,69,62,63,65,68,77,65,70,73,60,70,58,80.0,72,73,67,11,13,12,9,7,,63+2,63+2,63+2,65,66,66,66,65,69+2,69+2,69+2,66+2,72,72,72,66+2,68+2,73-1,73-1,73-1,68+2,67+2,70+2,70+2,70+2,67+2,17+2
232148,/player/232148/daniel-salloi/240002,24.0,2.0,2023-09-22,D. Sallói,Dániel Sallói,"LW, LM",72,72,2600000.0,7000.0,26,1996-07-19,185,68,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,LW,20.0,,2016-01-13,2026.0,23,Hungary,,,,Right,4,3,1,High/Medium,Lean (185+),Yes,3900000.0,,"Finesse Shot, Whipped Cross, Rapid",75.0,73.0,68.0,71.0,35.0,70.0,68,72,60,70,68,71,69,55,63,73,76,75,72,71,67,76,74,79,66,74,68,27,74,69,69,70.0,38,30,28,11,6,6,8,9,,71+1,71+1,71+1,72,72,72,72,72,71+1,71+1,71+1,72,66+2,66+2,66+2,72,56+2,54+2,54+2,54+2,56+2,53+2,48+2,48+2,48+2,53+2,15+2
213313,/player/213313/remi-walter/240002,24.0,2.0,2023-09-22,R. Walter,Rémi Walter,"CDM, CM",71,71,1600000.0,6000.0,28,1995-04-26,175,73,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,CDM,54.0,,2021-01-01,2023.0,18,France,,,,Left,4,3,1,Medium/High,Stocky (170-185),No,2400000.0,,,63.0,61.0,70.0,72.0,65.0,70.0,65,57,50,74,50,71,64,50,72,73,59,66,74,68,73,67,61,81,66,65,66,69,60,73,60,71.0,65,67,64,14,7,12,8,16,,63+2,63+2,63+2,67,67,67,67,67,69+2,69+2,69+2,69+2,71,71,71,69+2,69+2,70+1,70+1,70+1,69+2,67+2,65+2,65+2,65+2,67+2,18+2
221201,/player/221201/tim-leibold/240002,24.0,2.0,2023-09-22,T. Leibold,Tim Leibold,"LB, LM, LWB",71,71,1600000.0,6000.0,29,1993-11-30,174,72,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,14.0,,2023-01-12,2025.0,21,Germany,,,,Left,3,3,1,High/Medium,Normal (170-185),Yes,2400000.0,,"Finesse Shot, Slide Tackle",75.0,57.0,69.0,73.0,65.0,69.0,73,54,54,68,57,72,73,62,67,71,83,69,84,66,82,66,72,76,63,54,73,67,65,69,59,67.0,66,66,68,15,10,14,13,7,,64+2,64+2,64+2,69,67,67,67,69,68+2,68+2,68+2,70+1,68+2,68+2,68+2,70+1,70+1,68+2,68+2,68+2,70+1,69+2,66+2,66+2,66+2,69+2,17+2
221797,/player/221797/erik-thommy/240002,24.0,2.0,2023-09-22,E. Thommy,Erik Thommy,"CM, CAM, LM",71,71,1900000.0,6000.0,28,1994-08-20,175,71,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,LCM,26.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,2900000.0,,Technical,77.0,68.0,73.0,74.0,50.0,52.0,73,66,49,78,65,74,76,72,67,71,76,77,86,70,81,73,60,63,52,71,37,63,75,70,57,68.0,28,64,45,6,11,16,8,15,,69+2,69+2,69+2,73-2,72-1,72-1,72-1,73-2,73-2,73-2,73-2,72-1,71,71,71,72-1,64+2,61+2,61+2,61+2,64+2,62+2,54+2,54+2,54+2,62+2,17+2
192476,/player/192476/andreu-fontas-prat/240002,24.0,2.0,2023-09-22,Fontàs,Andreu Fontàs Prat,CB,70,70,750000.0,5000.0,33,1989-11-14,185,89,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,LCB,3.0,,2018-08-08,2026.0,45,Spain,,,,Left,3,2,1,Low/Medium,Normal (185+),Yes,1100000.0,,,30.0,48.0,67.0,61.0,70.0,74.0,58,45,66,74,46,58,58,52,75,67,31,30,54,70,38,58,65,67,78,47,74,70,43,62,52,72.0,70,72,66,16,14,11,16,9,,55+2,55+2,55+2,55,56,56,56,55,59+2,59+2,59+2,58+2,66+2,66+2,66+2,58+2,64+2,71-1,71-1,71-1,64+2,64+2,70,70,70,64+2,20+2
203796,/player/203796/felipe-gutierrez/240002,24.0,2.0,2023-09-22,F. Gutiérrez,Felipe Alejandro Gutiérrez Leiva,"CM, CAM",70,70,1300000.0,5000.0,32,1990-10-08,175,75,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RCM,13.0,,2023-07-06,2023.0,55,Chile,,,,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,2000000.0,,Flair,65.0,68.0,72.0,73.0,59.0,62.0,70,65,50,75,66,72,79,72,71,74,67,63,75,72,80,73,60,63,57,69,73,64,68,69,74,69.0,55,63,53,11,6,8,13,14,,67+2,67+2,67+2,70,70,70,70,70,71-1,71-1,71-1,70,70,70,70,70,66+2,67+2,67+2,67+2,66+2,64+2,61+2,61+2,61+2,64+2,18+2
215067,/player/215067/dany-rosero/240002,24.0,2.0,2023-09-22,D. Rosero,Dany Alejandro Rosero Valencia,CB,69,69,1200000.0,4000.0,29,1993-10-06,187,87,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RCB,5.0,,2023-03-02,2025.0,56,Colombia,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1800000.0,,Power Header,63.0,38.0,52.0,57.0,68.0,80.0,52,33,73,60,42,50,44,37,55,62,53,71,70,63,63,48,80,86,82,36,65,68,43,40,49,55.0,64,71,65,16,6,9,8,9,,53+2,53+2,53+2,52,51,51,51,52,52+2,52+2,52+2,55+2,57+2,57+2,57+2,55+2,65+2,65+2,65+2,65+2,65+2,66+2,69,69,69,66+2,16+2
255353,/player/255353/gadi-kinda/240002,24.0,2.0,2023-09-22,G. Kinda,Gadi Kinda,"CM, CAM",69,69,1400000.0,5000.0,29,1994-05-17,173,66,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RES,10.0,,2021-01-01,2027.0,26,Israel,,,,Right,5,4,1,High/Medium,Normal (170-185),No,2100000.0,,Technical,78.0,60.0,66.0,77.0,57.0,60.0,58,64,48,70,51,78,58,39,68,75,81,76,89,69,81,62,65,68,56,54,61,56,64,72,41,65.0,60,60,50,12,13,6,8,9,,65+2,65+2,65+2,71-2,70-1,70-1,70-1,71-2,71-2,71-2,71-2,71-2,69,69,69,71-2,64+2,64+2,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,17+2
186674,/player/186674/roger-espinoza/240002,24.0,2.0,2023-09-22,R. Espinoza,Róger Espinoza Ramírez,"CM, CDM",66,66,275000.0,2000.0,36,1986-10-25,178,82,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,15.0,,2015-01-06,2023.0,81,Honduras,,,,Left,4,3,1,High/High,Normal (170-185),Yes,413000.0,,Long Ball Pass,46.0,66.0,66.0,65.0,66.0,77.0,66,62,68,65,59,65,69,58,67,65,51,42,62,66,72,78,72,71,77,69,85,65,64,69,60,67.0,65,67,67,15,10,7,10,7,,65+1,65+1,65+1,63,64,64,64,63,64+2,64+2,64+2,63+2,66,66,66,63+2,64+2,68-2,68-2,68-2,64+2,64+2,68-2,68-2,68-2,64+2,16+2
190557,/player/190557/graham-zusi/240002,24.0,2.0,2023-09-22,G. Zusi,Graham Zusi,RB,66,66,190000.0,2000.0,36,1986-08-18,178,73,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,8.0,,2009-01-01,2026.0,95,United States,,,,Right,4,3,1,High/High,Normal (170-185),Yes,285000.0,,"Long Ball Pass, Bruiser",52.0,66.0,71.0,65.0,63.0,72.0,69,58,55,71,70,65,77,72,70,66,57,47,56,61,76,77,64,77,70,70,75,67,70,73,73,74.0,61,65,64,14,9,15,13,12,,64+2,64+2,64+2,64,65,65,65,64,66,66,66,66,69-3,69-3,69-3,66,65+1,68-2,68-2,68-2,65+1,64+2,65+1,65+1,65+1,64+2,18+2
200463,/player/200463/tim-melia/240002,24.0,2.0,2023-09-22,T. Melia,Tim Melia,GK,66,66,90000.0,1000.0,37,1986-05-15,185,87,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,GK,29.0,,2014-12-23,2027.0,95,United States,,,,Right,2,1,1,Medium/Medium,Normal (185+),Yes,135000.0,,,,,,,,,20,20,13,45,13,17,15,19,45,29,39,33,40,55,34,49,61,42,67,18,44,21,18,48,19,53.0,15,15,14,66,66,65,67,65,37.0,30+2,30+2,30+2,30,31,31,31,30,34+2,34+2,34+2,32+2,36+2,36+2,36+2,32+2,28+2,34+2,34+2,34+2,28+2,27+2,29+2,29+2,29+2,27+2,65+1
239269,/player/239269/logan-ndenbe/240002,24.0,2.0,2023-09-22,L. Ndenbe,Logan Ndenbe,LB,65,72,1400000.0,2000.0,23,2000-02-09,175,73,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,LB,18.0,,2022-01-15,2024.0,7,Belgium,,,,Left,3,2,1,High/Medium,Stocky (170-185),No,2400000.0,,,78.0,29.0,58.0,66.0,60.0,67.0,64,22,53,64,29,65,40,34,64,63,82,74,78,57,81,42,72,70,64,25,70,59,54,49,38,59.0,61,61,61,12,10,14,15,5,,51+2,51+2,51+2,58,55,55,55,58,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,64+2,62+2,62+2,62+2,64+2,63+2,61+2,61+2,61+2,63+2,16+2
256053,/player/256053/john-pulskamp/240002,24.0,2.0,2023-09-22,J. Pulskamp,John Pulskamp,GK,64,73,1100000.0,1000.0,22,2001-04-19,188,86,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RES,1.0,,2020-02-24,2025.0,95,United States,,,,Right,1,1,1,Medium/Medium,Normal (185+),No,1900000.0,,,,,,,,,13,9,10,27,9,8,14,14,22,15,27,21,30,60,41,44,54,20,62,8,20,11,6,31,19,34.0,12,13,12,67,60,59,62,67,25.0,22+2,22+2,22+2,19,21,21,21,19,21+2,21+2,21+2,20+2,22+2,22+2,22+2,20+2,19+2,22+2,22+2,22+2,19+2,19+2,22+2,22+2,22+2,19+2,63+2
237201,/player/237201/kendall-mcintosh/240002,24.0,2.0,2023-09-22,K. McIntosh,Kendall Isaiah McIntosh,GK,64,66,475000.0,2000.0,29,1994-01-24,183,79,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,22.0,,2021-01-05,2026.0,95,United States,,,,Right,3,1,1,Medium/Medium,Normal (170-185),Yes,748000.0,,,,,,,,,21,16,13,26,19,16,21,19,35,18,41,41,39,55,50,45,56,44,57,17,41,30,15,53,32,58.0,10,16,15,64,63,60,66,64,41.0,27+2,27+2,27+2,26,27,27,27,26,29+2,29+2,29+2,29+2,31+2,31+2,31+2,29+2,27+2,30+2,30+2,30+2,27+2,27+2,27+2,27+2,27+2,27+2,63+2
237116,/player/237116/kortne-ford/240002,24.0,2.0,2023-09-22,K. Ford,Kortne Ford,"CB, RB",64,65,600000.0,2000.0,27,1996-01-26,188,84,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,RES,12.0,,2022-01-15,2026.0,95,United States,,,,Right,2,2,1,High/Medium,Normal (185+),No,945000.0,,,59.0,27.0,36.0,45.0,62.0,77.0,25,29,60,50,26,39,20,23,27,43,53,64,60,62,57,30,74,65,84,16,77,60,27,34,38,48.0,62,65,61,14,14,15,14,10,,43+2,43+2,43+2,41,41,41,41,41,41+2,41+2,41+2,42+2,43+2,43+2,43+2,42+2,54+2,56+2,56+2,56+2,54+2,56+2,64+1,64+1,64+1,56+2,18+2
253098,/player/253098/felipe-hernandez/240002,24.0,2.0,2023-09-22,F. Hernandez,Felipe Hernandez,CM,63,68,700000.0,2000.0,25,1998-06-08,173,61,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,21.0,,2019-08-30,2025.0,95,United States,,,,Right,4,2,1,High/High,Normal (170-185),No,1100000.0,,,69.0,58.0,64.0,64.0,56.0,58.0,65,57,39,69,39,61,61,52,62,65,66,71,72,64,76,62,48,69,54,63,57,63,60,58,45,58.0,54,59,54,10,5,8,6,8,,59+2,59+2,59+2,64,62,62,62,64,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,63+2,62+2,62+2,62+2,63+2,62+2,57+2,57+2,57+2,62+2,14+2
266734,/player/266734/marinos-tzionis/240002,24.0,2.0,2023-09-22,M. Tzionis,Marinos Tzionis,"LW, RW",62,70,900000.0,1000.0,21,2001-07-16,170,66,696.0,Sporting Kansas City,39.0,Major League Soccer,1.0,SUB,77.0,,2022-01-24,2024.0,11,Cyprus,,,,Right,3,3,1,Medium/Low,Normal (170-),No,1500000.0,,,71.0,50.0,53.0,66.0,26.0,42.0,52,53,31,59,49,65,53,32,37,63,69,72,78,64,78,50,37,56,39,45,34,20,66,60,34,62.0,19,35,31,15,6,6,15,5,,56+2,56+2,56+2,62,61,61,61,62,61+2,61+2,61+2,61+2,54+2,54+2,54+2,61+2,48+2,42+2,42+2,42+2,48+2,45+2,35+2,35+2,35+2,45+2,16+2
