Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2040.20349121,2021-01-21,2021-01-24
2,Man City,ENG,1,1976.59643555,2021-01-21,2021-01-26
3,Liverpool,ENG,1,1950.15319824,2021-01-18,2021-01-21
4,Atletico,ESP,1,1920.45715332,2021-01-13,2021-01-21
5,Barcelona,ESP,1,1919.41088867,2021-01-13,2021-01-24
6,Real Madrid,ESP,1,1899.98193359,2021-01-10,2021-01-23
7,Man United,ENG,1,1883.86950684,2021-01-21,2021-01-27
8,RB Leipzig,GER,1,1871.7767334,2021-01-21,2021-01-23
9,Paris SG,FRA,1,1867.9642334,2021-01-18,2021-01-22
10,Juventus,ITA,1,1859.9453125,2021-01-18,2021-01-24
11,Inter,ITA,1,1857.86694336,2021-01-18,2021-01-23
12,Tottenham,ENG,1,1845.23278809,2021-01-18,2021-01-28
13,Sevilla,ESP,1,1841.80859375,2021-01-20,2021-01-23
14,Leverkusen,GER,1,1835.74719238,2021-01-20,2021-01-23
15,Dortmund,GER,1,1832.76586914,2021-01-20,2021-01-22
16,Chelsea,ENG,1,1831.37451172,2021-01-20,2021-01-27
17,Atalanta,ITA,1,1825.31713867,2021-01-21,2021-01-23
18,Leicester,ENG,1,1821.85583496,2021-01-20,2021-01-27
19,Milan,ITA,1,1810.46899414,2021-01-19,2021-01-23
20,Porto,POR,1,1803.54333496,2021-01-17,2021-01-24
21,Gladbach,GER,1,1803.15539551,2021-01-20,2021-01-22
22,Arsenal,ENG,1,1802.21813965,2021-01-20,2021-01-26
23,Villarreal,ESP,1,1797.56884766,2021-01-21,2021-01-23
24,Napoli,ITA,1,1775.06237793,2021-01-18,2021-01-24
25,Everton,ENG,1,1767.78735352,2021-01-18,2021-01-27
26,Shakhtar,UKR,1,1763.59692383,2021-01-17,2021-02-24
27,Roma,ITA,1,1761.67834473,2021-01-17,2021-01-23
28,Southampton,ENG,1,1761.63903809,2021-01-21,2021-01-26
29,Wolfsburg,GER,1,1761.51513672,2021-01-20,2021-01-23
30,Frankfurt,GER,1,1757.67724609,2021-01-21,2021-01-23
31,Ajax,NED,1,1755.56518555,2021-01-20,2021-01-24
32,Lazio,ITA,1,1753.84777832,2021-01-18,2021-01-24
33,West Ham,ENG,1,1750.52453613,2021-01-20,2021-01-26
34,Sociedad,ESP,1,1749.63891602,2021-01-20,2021-01-23
35,Wolves,ENG,1,1741.03747559,2021-01-18,2021-01-27
36,Benfica,POR,1,1732.78662109,2021-01-18,2021-01-24
37,Lyon,FRA,1,1728.70324707,2021-01-18,2021-01-24
38,Salzburg,AUT,1,1726.68811035,2021-01-10,2021-01-24
39,Hoffenheim,GER,1,1723.43139648,2021-01-20,2021-01-24
40,Freiburg,GER,1,1712.67883301,2021-01-21,2021-01-23
41,Lille,FRA,1,1710.68945312,2021-01-21,2021-01-21
42,Aston Villa,ENG,1,1709.67163086,2021-01-21,2021-01-21
43,Valencia,ESP,1,1708.61657715,2021-01-18,2021-01-21
44,Getafe,ESP,1,1707.09472656,2021-01-21,2021-01-25
45,Granada,ESP,1,1702.74487305,2021-01-21,2021-01-21
46,Union Berlin,GER,1,1700.47607422,2021-01-21,2021-01-21
47,Levante,ESP,1,1699.51757812,2021-01-21,2021-01-21
48,Burnley,ENG,1,1697.55444336,2021-01-18,2021-01-21
49,Rangers,SCO,1,1694.72607422,2021-01-18,2021-01-23
50,Bilbao,ESP,1,1693.5402832,2021-01-18,2021-01-25
51,Crystal Palace,ENG,1,1690.53552246,2021-01-18,2021-01-26
