coach_id,coach_url,short_name,long_name,dob,nationality_name,coach_face_url,nation_flag_url
24,/coach/24/david-unsworth/,D. Unsworth,David Unsworth,1973-10-16,England,,https://cdn.sofifa.net/flags/gb-eng.png
50,/coach/50/steven-gerrard/,S. Gerrard,Steven Gerrard,1980-05-30,England,https://cdn.sportmonks.com/images/soccer/players/18/50.png,https://cdn.sofifa.net/flags/gb-eng.png
95,/coach/95/frank-lampard/,F. Lampard,Frank Lampard,1978-06-20,England,https://cdn.sportmonks.com/images/soccer/players/31/95.png,https://cdn.sofifa.net/flags/gb-eng.png
121,/coach/121/carl-hoefkens/,C. Hoefkens,Carl Hoefkens,1978-10-05,Belgium,https://cdn.sportmonks.com/images//soccer/coaches/25/121.png,https://cdn.sofifa.net/flags/be.png
126,/coach/126/andy-dawson/,A. Dawson,Andy Dawson,1978-10-20,England,,https://cdn.sofifa.net/flags/gb-eng.png
204,/coach/204/ki-hyeon-seol/,K. Seol,Ki-Hyeon Seol,1979-01-08,Korea Republic,https://cdn.sportmonks.com/images/soccer/players/12/204.png,https://cdn.sofifa.net/flags/kr.png
236,/coach/236/vincent-kompany/,V. Kompany,Vincent Kompany,1986-04-10,Belgium,https://cdn.sportmonks.com/images/soccer/players/12/236.png,https://cdn.sofifa.net/flags/be.png
243,/coach/243/didier-digard/,D. Digard,Didier Digard,1986-07-12,France,https://cdn.sportmonks.com/images/soccer/players/19/243.png,https://cdn.sofifa.net/flags/fr.png
252,/coach/252/carlos-alberto-tevez/,C. Tevez,Carlos Alberto Tevez,1984-02-05,Argentina,https://cdn.sportmonks.com/images/soccer/players/28/252.png,https://cdn.sofifa.net/flags/ar.png
270,/coach/270/gary-oneil/,G. O'Neil,Gary O'Neil,1983-05-18,England,,https://cdn.sofifa.net/flags/gb-eng.png
277,/coach/277/matthew-taylor/,M. Taylor,Matthew Taylor,1981-11-27,England,https://cdn.sportmonks.com/images/soccer/players/21/277.png,https://cdn.sofifa.net/flags/gb-eng.png
305,/coach/305/phil-neville/,P. Neville,Phil Neville,1977-01-21,England,https://cdn.sportmonks.com/images//soccer/coaches/17/305.png,https://cdn.sofifa.net/flags/gb-eng.png
307,/coach/307/mikel-arteta-amatriain/,M. Arteta,Mikel Arteta Amatriain,1982-03-26,Spain,https://cdn.sportmonks.com/images/soccer/players/19/307.png,https://cdn.sofifa.net/flags/es.png
380,/coach/380/emre-belozoglu/,E. Belözoğlu,Emre Belözoğlu,1980-09-07,Turkey,https://cdn.sportmonks.com/images/soccer/players/28/380.png,https://cdn.sofifa.net/flags/tr.png
382,/coach/382/damien-duff/,D. Duff,Damien Duff,1979-03-02,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/players/30/382.png,https://cdn.sofifa.net/flags/ie.png
384,/coach/384/darren-moore/,D. Moore,Darren Moore,1974-04-22,England,,https://cdn.sofifa.net/flags/gb-eng.png
468,/coach/468/wade-elliott/,W. Elliott,Wade Elliott,1978-12-14,England,https://cdn.sportmonks.com/images/soccer/players/20/468.png,https://cdn.sofifa.net/flags/gb-eng.png
469,/coach/469/olof-mellberg/,O. Mellberg,Olof Mellberg,1977-09-03,Sweden,https://cdn.sportmonks.com/images/soccer/players/21/469.png,https://cdn.sofifa.net/flags/se.png
491,/coach/491/ian-ross-evatt/,I. Evatt,Ian Ross Evatt,1981-11-19,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
497,/coach/497/dirk-kuijt/,D. Kuijt,Dirk Kuijt,1980-07-22,Netherlands,https://cdn.sportmonks.com/images/soccer/players/17/497.png,https://cdn.sofifa.net/flags/nl.png
511,/coach/511/xabier-alonso-olano/,X. Alonso Olano,Xabier Alonso Olano,1981-11-25,Spain,https://cdn.sportmonks.com/images/soccer/players/31/511.png,https://cdn.sofifa.net/flags/es.png
562,/coach/562/rob-edwards/,R. Edwards,Rob Edwards,1982-12-25,Wales,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-wls.png
579,/coach/579/wayne-mark-rooney/,W. Rooney,Wayne Mark Rooney,1985-10-24,England,https://cdn.sportmonks.com/images/soccer/players/3/579.png,https://cdn.sofifa.net/flags/gb-eng.png
607,/coach/607/gary-mcsheffrey/,G. McSheffrey,Gary McSheffrey,1982-08-13,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
611,/coach/611/mehdi-nafti/,M. Nafti,Mehdi Nafti,1978-11-28,Tunisia,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/tn.png
645,/coach/645/michael-carrick/,M. Carrick,Michael Carrick,1981-07-28,England,https://cdn.sportmonks.com/images/soccer/players/5/645.png,https://cdn.sofifa.net/flags/gb-eng.png
658,/coach/658/joey-barton/,J. Barton,Joey Barton,1982-09-02,England,https://cdn.sportmonks.com/images/soccer/players/18/658.png,https://cdn.sofifa.net/flags/gb-eng.png
684,/coach/684/nick-montgomery/,N. Montgomery,Nick Montgomery,1981-10-28,Scotland,https://cdn.sportmonks.com/images/soccer/players/12/684.png,https://cdn.sofifa.net/flags/gb-sct.png
727,/coach/727/alberto-aquilani/,A. Aquilani,Alberto Aquilani,1984-07-07,Italy,https://cdn.sportmonks.com/images/soccer/players/23/727.png,https://cdn.sofifa.net/flags/it.png
869,/coach/869/steve-morison/,S. Morison,Steve Morison,1983-08-29,Wales,https://cdn.sportmonks.com/images/soccer/players/5/869.png,https://cdn.sofifa.net/flags/gb-wls.png
904,/coach/904/russell-martin/,R. Martin,Russell Martin,1986-01-04,Scotland,https://cdn.sportmonks.com/images/soccer/players/8/904.png,https://cdn.sofifa.net/flags/gb-sct.png
912,/coach/912/steven-naismith/,S. Naismith,Steven Naismith,1986-09-14,Scotland,https://cdn.sportmonks.com/images/soccer/players/16/912.png,https://cdn.sofifa.net/flags/gb-sct.png
938,/coach/938/ryan-mason/,R. Mason,Ryan Mason,1991-06-13,England,https://cdn.sportmonks.com/images/soccer/players/10/938.png,https://cdn.sofifa.net/flags/gb-eng.png
1198,/coach/1198/kelvin-davis/,K. Davis,Kelvin Davis,1976-09-29,England,https://cdn.sportmonks.com/images/soccer/players/14/1198.png,https://cdn.sofifa.net/flags/gb-eng.png
1334,/coach/1334/shaun-maloney/,S. Maloney,Shaun Maloney,1983-01-24,Scotland,https://cdn.sportmonks.com/images/soccer/players/22/1334.png,https://cdn.sofifa.net/flags/gb-sct.png
1346,/coach/1346/patrick-mccarthy/,P. McCarthy,Patrick McCarthy,1983-05-31,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ie.png
1398,/coach/1398/martin-gaston-demichelis/,M. Demichelis,Martín Gastón Demichelis,1980-12-20,Argentina,https://cdn.sportmonks.com/images/soccer/players/22/1398.png,https://cdn.sofifa.net/flags/ar.png
1458,/coach/1458/michael-duff/,M. Duff,Michael Duff,1978-01-11,Northern Ireland,https://cdn.sportmonks.com/images/soccer/players/18/1458.png,https://cdn.sofifa.net/flags/gb-nir.png
1600,/coach/1600/lee-johnson/,L. Johnson,Lee Johnson,1981-06-07,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
1621,/coach/1621/jim-goodwin/,J. Goodwin,Jim Goodwin,1981-11-20,Republic of Ireland,,https://cdn.sofifa.net/flags/ie.png
1631,/coach/1631/patrick-kisnorbo/,P. Kisnorbo,Patrick Kisnorbo,1981-03-24,Australia,https://cdn.sportmonks.com/images/soccer/players/31/1631.png,https://cdn.sofifa.net/flags/au.png
1713,/coach/1713/zhi-zheng/,Z. Zheng,Zhi Zheng,1980-08-20,China PR,https://cdn.sportmonks.com/images/soccer/players/17/1713.png,https://cdn.sofifa.net/flags/cn.png
1742,/coach/1742/callum-davidson/,C. Davidson,Callum Davidson,1976-06-25,Scotland,https://cdn.sportmonks.com/images/soccer/players/14/1742.png,https://cdn.sofifa.net/flags/gb-sct.png
